"CUST_ITEM_CF_HAIR_MED": "SCHULTERLANG"
"CUST_ITEM_STAG_OUTFIT": "STAG-OUTFIT"
"CUST_ITEM_CF_PSF_UBDY_F_GFXTRACKTOPDN": "DAMEN-TRAININGSJACKE MIT NICHT AUFGESETZTER KAPUZE"
"CUST_CAT_HAT": "HÜTE"
"CUST_SKIN_GREY_2": "SCHIEFERGRAU"
"COMPONENT_ADD_REINFORCED_FRAME": "VERSTÄRKTER RAHMEN"
"CUST_VARIANT_PECTORAL_COLORS": "BLÖCKE"
"CUST_WEAR_ZIPPED": "GESCHLOSSEN"
"CUST_ITEM_MALE_NLM_OUTFIT_A": "STEAMPUNK-KÄMPFER"
"CUST_ITEM_SWAT_PANTS": "ZICKENKRIEG-LEGGINGS"
"PLAYER_CREATION_AGE_OLD": "ALT"
"PLAYER_MORPH_JAW_HEIGHT_TEXT": "GEBISSHÖHE"
"VEHICLE_PAINT_GLOSS_PAINT": "GLANZLACK"
"CUST_ITEM_CM_IMPE_EYES_M_SUNGLASSES": "SOUTH BEACH PILOTENBRILLE"
"CUST_SKIN_GREEN_2": "FAULIGES GRÜN"
"CUSTOM_WALK_9": "GANGSTER-STIL 5"
"PLAYER_MORPH_UPPER_EYELIDS_ROLL_TEXT": "OBERER AUGENLIDSCHWUNG"
"VEHICLE_COLOR_TINT_70": "70%% DECKKRAFT"
"VEHICLE_COLOR_WHITE_GOLD": "WEISSGOLD"
"CUST_VARIANT_PLASTIC": "PLASTIK"
"CUST_WEAR_HIGH_BOTH_ZIPPED": "HOCH"
"CUST_TATTOO_TORSO_FRONT": "GANZE VORDERSEITE"
"CUST_ITEM_CF_DLC_BC_OUTFIT": "BLUTIGES STIFTSFRÄULEIN"
"CUST_ITEM_CM_PSE_UBDY_M_PUFFYCOAT-DN": "STEPPMANTEL"
"CUST_WPN_UPGRADE_DESC_GRENADE_MOLOTOV_3": "Wirf weiter."
"CUST_COMP_EYES_PURPLE": "LILA"
"CUST_COLOR_BRIGHT_PINK": "HELLROSA"
"COMPONENT_CHASSIS": "KOMPONENTEN-CHASSIS"
"LOGO_MECH_1": "MECH 1"
"PLAYER_MORPH_EAR_PITCH_TEXT": "OHRDREHUNG"
"CUST_COLOR_CLOTHING_YELLOW_GREEN_2": "GELBGRÜN 2"
"CUST_TATTOO_CHEST_1": "PISTOLEN"
"CUST_COMP_TEST_EYE_MAKEUP": "SPÄTER ABEND"
"VEHICLE_COLOR_GREEN_LIGHT_TINT": "HELLGRÜN GETÖNT"
"COLOR_SLOT_TRIM_AND_RIMS": "ZIERSTREIFEN UND FELGEN"
"CUST_ITEM_CM_NLMG_UBDY_M_SWEATSHIRTUP": "GANGSTER-SWEATSHIRT MIT AUFGESETZTER KAPUZE"
"CUST_ITEM_FEMALE_LL_EARRINGS_4": "BAD-COP-OHRRINGE"
"CUST_ITEM_WOMEN'S_BRA_3": "KOMFORT BH"
"CUST_COMP_FACE_BANDAGE_2": "STIRNVERBAND"
"VEHICLE_COLOR_TINT_100": "100%% DECKKRAFT"
"CUST_VARIANT_MUSCLE_SHIRT_TUCKED": "MUSKEL-SHIRT, IN HOSE"
"CUST_ITEM_CM_CNC_FOOT_M_SNEAKERS": "CROOKS & CASTLES SNEAKERS"
"CUST_ITEM_CM_NLMC_LBDY_M_PANTS": "GLÜCKLICHER-RAVER-HOSE"
"PLAYER_CREATION_MENU_6": "HAUT"
"CUST_COLOR_CLOTHING_YELLOW-ORANGE_7": "GELBORANGE 7"
"CUST_TATTOO_LHAND_5": "KNOCHEN"
"CUST_COLOR_INDIGO_1": "INDIGO 1"
"CUST_VARIANT_SMALL_POLKA_DOTS": "KLEINE PUNKTE"
"CUST_ITEM_CM_RIP_UBDY_3RDST": "RIPPLE JUNCTION 3RD STREET"
"CUST_ITEM_CM_LLL_LBDY_M_LPANTS": "KICKSTAND-HOSE"
"CUST_MORPH_CAT_EARS": "OHREN"
"CUST_COMP_EYES_CAT_GREEN": "GRÜNE KATZE"
"VEHICLE_COLOR_DYNASTY_BLUE": "CHINA-BLAU"
"SLOT_RIMS_REAR": "FELGEN HINTEN"
"COMPONENT_DECAL_8": "AUFKLEBER 8"
"PAINT_2": "LACK 2"
"CUST_VARIANT_POLO": "POLO 1"
"CUST_MOVEMENT_WALK": "BEWEGUNGSSTIL"
"VEHICLE_COLOR_BROWN_LIGHT_TINT": "HELLBRAUN GETÖNT"
"SLOT_WINDOWS": "FENSTER"
"CUST_VARIANT_CRAZY_JACKET_TEST": "TESTJACKE"
"CUST_WEAR_NORMAL_HIGH": "NORMAL, HOCH"
"CUST_ITEM_CM_LLL_HAND_M_LGLOVES": "BIKER-HANDSCHUHE"
"HASH_C1DEC751": "DALLAS"
"CUST_COMP_MALE_EYEBROWS_3": "CRO-MAGNON"
"VEHICLE_COLOR_COCONUT_TAN": "KOKOSNUSSBRAUN"
"DARK_PURPLE": "DUNKELLILA"
"CUST_VARIANT_TAPE": "KLEBEBAND"
"CUST_ITEM_CF_PSC_FOOT_F_OTHEALS": "PEEPTOE-PUMPS"
"CUST_ITEM_MEN_S_LARGE_BELT_CHAIN": "ZEIG-DEINE-KNARREN-ARMBAND"
"CUST_RONIN_TAUNT_C": "RONIN-SPOTTGESTE 3"
"CUST_PRESET_RACE": "ETHNISCHE ZUGEHÖRIGKEIT"
"PLAYER_MORPH_EARS_PITCH_TEXT": "OHRWINKEL"
"CUST_COLOR_CLOTHING_ORANGE_4": "ORANGE 4"
"SLOT_BUMPERS": "STOSSSTANGEN"
"CUST_VARIANT_TRIM": "ZIERSTREIFEN"
"CUST_RACE_WHITE": "WEISS"
"FACIAL_EXPRESSION_EVIL": "BÖSE"
"CUST_VARIANT_VERT_STRIPES": "LÄNGSSTREIFEN"
"CUST_VARIANT_SEMI_GLOSS": "HALBGLÄNZEND"
"CUST_VARIANT_MULTICOLOR_MEDIUM": "MEHRFARBIG, MITTEL"
"CUST_WEAR_TUCKED_HIGH_PANT_SUSPENDERS": "HOHE HOSE, HOSENTRÄGER"
"CUST_ITEM_CM_DLC_UBDY_ABOY": "MESSDIENERCHORHEMD"
"CUST_ITEM_CM_LLL_UBDY_M_LJACKET": "BIKER-JACKE"
"MALE_HUGE": "MÄNNLICH, GROSS"
"CUST_ITEM_CM_NLME_FOOT_M_COMBATBOOTS": "NETWORK KAMPFSTIEFEL"
"CUST_ITEM_FEMALE_IMPRESSIONS_EARRINGS_3": "DIAMANTOHRRING RECHTS"
"CUST_MORPH_CAT_FOREHEAD": "STIRN"
"PLAYER_MORPH_SEPTUM_ELEVATION_TEXT": "NASENSCHEIDEWANDHÖHE"
"PLAYER_CREATION_MENU_2": "KOPF"
"CUST_COLOR_CLOTHING_YELLOW_GREEN_6": "GELBGRÜN 6"
"CUST_TATTOO_CHEST_5": "VERGEBUNG"
"VEHICLE_COLOR_ROYAL_PURPLE": "KÖNIGLICHES LILA"
"LOGO_HOE": "ETA OMICRON EPSILON"
"CUST_ITEM_CM_IMPO_UBDY_M_CARDIGAN": "NEIGHBOR CARDIGAN"
"CUST_MORPH_CAT_NOSE": "NASE"
"CUST_COMP_MUSTACHE_19": "SCHMALE LINIE"
"RIM_INDUSTRIAL": "INDUSTRIELL"
"OPTION_39": "OPTION 39"
"SLOT_COLOR_SCHEMES": "FARBSCHEMAS"
"CUST_VARIANT_FULL_STRIPES": "GANZE STREIFEN"
"CUST_ITEM_CF_RING_F_WEDDINGBAND": "VERHEIRATET"
"PLAYER_MORPH_MUSCLE_TEXT": "MUSKELN"
"CUST_COLOR_CLOTHING_YELLOW-ORANGE_3": "GELBORANGE 3"
"CUST_TATTOO_LHAND_1": "L I N K S"
"CUST_COLOR_PURPLE_4": "LILA 4"
"CUST_ITEM_CF_RING_F_ALIENHEAD": "NICHT-VON-DIESER-WELT-RING"
"CUST_ITEM_CM_HAIR_LONGBG": "GLAM ROCK"
"CUST_ITEM_LEFT_FOREARM_KILLA01": "STREIFENARMBAND"
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_RPG_4": "Lasergesteuerte Raketen folgen deinem Zielkreuz. Die Zielerfassung erlaubt es dir, deine Feinde leichter anzuvisieren."
"CUST_TATTOO_RCALF_2": "BETENDE HÄNDE"
"CUST_TATTOO_LARM_5": "SEEROSEN"
"CUST_TATTOO_LUPPARM_7": "RONINS NIEDERGANG"
"CUST_COMP_FEMALE_EYEBROWS_5": "DICK, WEIBLICH"
"CUST_COMP_EYES_BROWN": "BRAUN"
"Auburn": "KASTANIE  "
"CUST_RACE_HISPANIC": "LATINO"
"CUST_ITEM_CM_RIP_UBDY_WEAPONS": "RIPPLE JUNCTION GANGBUSTERS"
"CUST_ITEM_CM_IMPN_UBDY_M_CJTURTLENECK": "ERMITTLUNGSBEAMTER"
"CUST_ITEM_CM_IMPN_HAT_M_HAT": "METRO FEODORA"
"CUST_ITEM_FEMALE_NLM_UNDWEAR_1": "PINK HÜFTHOSE"
"PLAYER_MORPH_EYEBALLS_DEPTH_TEXT": "AUGAPFELTIEFE"
"PLAYER_MORPH_EYEBALL_SIZE_TEXT": "AUGAPFELGRÖSSE"
"CUST_VARIANT_STRAPLESS": "OHNE SCHNALLEN"
"CUST_ITEM_CM_IMPM_HAT_M_HAT": "KABANA HUT"
"CUST_ITEM_CM_IMPL_UBDY_M_SWEATERTN": "PARISER RUNWAY-ROLLI"
"CUST_CAT_FACE_WEAR": "GESICHTS-ACCESSOIRES"
"CUST_INSULT_A": "HAUSTIERDETEKTIV"
"PLAYER_MORPH_UPPER_LIP_SIZE_TEXT": "OBERLIPPENGRÖSSE"
"PLAYER_MORPH_EAR_WIDTH_TEXT": "OHRBREITE"
"PLAYER_MORPH_EAR_RIM_TEXT": "OHRRAND"
"CUST_COMP_FACE_NATURAL_EYES": "NATÜRLICHE AUGEN"
"CUST_VARIANT_MEDIUM": "MITTEL"
"CUST_VARIANT_MATERIAL_7": "CUST_VARIANT_MATERIAL#7"
"CUST_ITEM_CM_IMPN_UBDY_M_CJTIE": "MODERNES LANGES JACKETT MIT KRAWATTE"
"CUST_COMPLIMENT_N": "STRIPCLUB"
"PLAYER_CREATION_PRESET_FEMALE": "WEIBLICH"
"CUST_VARIANT_SMALL_STRIPES": "DÜNNE STREIFEN"
"CUST_VARIANT_STIPES_1": "STREIFEN 1"
"CUST_ITEM_CF_IMPQ_HAT_F_LATEXHAT": "AUSSER-KONTROLLE-HUT"
"PLAYER_MORPH_NOSTRIL_SIZE_TEXT": "NASENLOCHGRÖSSE"
"PLAYER_MORPH_HAIR_TEXT": "HAARE"
"CUST_GANG_GENERIC": "SAINT"
"VEHICLE_PAINT_GANG_RONIN": "RONIN"
"CUST_VARIANT_WATCHBAND": "UHRARMBAND"
"CUST_INSULT_DUMP": "NUMMER 2"
"PLAYER_MORPH_SKULL_BACK_LENGTH_TEXT": "HINTERKOPFLÄNGE"
"CUST_WPN_UPGRADE_DESC_RIFLE_GANG_4": "Der angebaute Granatwerfer wirft Granaten schneller und weiter. Großes Magazin für mehr Munition."
"RIM_186": "V-F 605"
"SLOT_WEAPON_1": "WAFFE 1"
"DARK_YELLOW-GREEN": "DUNKELGELBGRÜN"
"CUST_VARIANT_THREE_COLORS": "DREIFARBIG"
"CUST_VARIANT_TIES_": "KRAWATTEN"
"CUST_ITEM_CM_CNC_UBDY_M_BLKLOGOA": "CROOKS & CASTLES T-SHIRT A"
"CUST_ITEM_PLANETSAINTS_TRAILBLAZING": "AMOKFAHRT"
"CUST_BRO_TAUNT_C": "BRUDERSCHAFT-SPOTTGESTE 3"
"PLAYER_MORPH_SKULL_BACK_DEPTH_TEXT": "HINTERKOPFTIEFE"
"PLAYER_MORPH_MOUTH_WIDTH_TEXT": "MUNDBREITE"
"VEHICLE_PAINT_STANDARD_MATERIAL": "STANDARDMATERIAL"
"COMPONENT_REGULAR_PROFILE": "NORMALE HÖHE"
"SLOT_SUSPENSION_STYLE": "AUFHÄNGUNGSFARBE"
"SLOT_PRIMARY_SURFACES": "HAUPTOBERFLÄCHE"
"CUST_VARIANT_LARGE_FLOWERS": "GROSSE BLUMEN"
"CUST_ITEM_CF_LLJ_HAND_F_LTHRGLOVES": "PENNERHANDSCHUHE"
"CUST_ITEM_MALE_NLM_OUTFIT_E": "STRATAGEM MANTEL"
"CUST_ITEM_CM_LPH_HAND_M_PIRATEGLOVES": "KAPITÄNSHANDSCHUHE"
"CUST_WPN_UPGRADE_DESC_SMG_STORM_3": "Erhöhe die Schussfrequenz und verringere den Rückschlag."
"CUST_TATTOO_RFORARM_7": "SAINTS AUFERSTEHUNG"
"CUST_TATTOO_UPPBACK_8": "FLÜGELCHEN"
"CUST_COMP_FACE_MOLE_6": "LEBERFLECK 6"
"SEXY_1": "SEXY 1"
"CUST_VARIANT_LEATHER_SKIRT": "LEDER"
"CUST_WEAR_FRONT LEFT": "VORNE LINKS"
"PLAYER_MORPH_LOWER_EYELIDS_PITCH_TEXT": "UNTERE AUGENLIDHÖHE"
"PLAYER_MORPH_EYELID_SHAPE_TEXT": "FORM DER AUGENLIDER"
"CUST_COMP_EYE_MAKEUP_12": "PUNK-LIDSTRICH"
"SLOT_NITROUS_DESC": "Füge deinem Auto Salpeter hinzu falls du mal richtig Gummi geben musst."
"LOGO_BRITISH": "BRITISCHE FLAGGE"
"CUST_VARIANT_STRETCHED_HORIZONTAL": "LÄNGSSTREIFEN"
"CUST_WEAR_TUCKED_BUTTONED_EXTRA_HIGH_PANT_SUSPENDERS": "IN HOSE, GESCHL., SEHR HOHE HOSE, HOSENTRÄGER"
"CUST_ITEM_CM_FPIC_SETA": "LINKE BRAUE UND NASENSTECKER"
"CUST_ITEM_CM_NLMB_FOOT_M_SNEAKERS": "BROSEPH SNEAKER"
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_SATCHEL_3": "Trage mehr Sprengladungen."
"CUST_TATTOO_NECK_6": "SPINNENBISS"
"SLOT_SPOILER": "SPOILER"
"CUST_VARIANT_FEEDDOGS": "HUNDE FÜTTERN"
"CUST_ITEM_CM_NECK_SHORTCHAIN": "KURZE KETTE"
"CUST_ITEM_CM_HAIR_SIDEPARTMED2": "KURZ UND RECHTS"
"CUST_ITEM_MALE_KILLBANEMASK": "KILLBANE-MASKE"
"CUST_ITEM_BASIC_WRISTBAND_RIGHT": "STREIFENARMBAND"
"CUST_HAIR_ACCESSORY_COLOR": "FARBE DER HAAR-ACCESSOIRES"
"CUST_WPN_UPGRADE_DESC_SPECIAL_DRONE_4": "Trage mehr Raketen."
"CUST_TATTOO_LOWBACK_2": "VERFOLGT"
"CUST_COLOR_BLONDE": "BLOND"
"CUST_COLOR_FLESH_2": "FLEISCH 2"
"CUST_ITEM_CF_IMPR_UBDY_F_TURTLENECK": "HILLS ROLLKRAGEN"
"CUST_ITEM_CF_HAIR_LONGDREADS": "RASTA"
"CUST_ITEM_CF_HAIR_CHOPSTICKS": "JAPANISCH"
"CUST_ITEM_CF_NLMH_LBDY_F_SKIRT": "RAVER-ROCK"
"CUST_ITEM_CF_PSC_UBDY_F_TTOPCOMBO": "TRAININGSJACKENKOMBI"
"CUST_CAT_EAR_PIERCINGS": "OHRRINGE"
"CUST_LOGO_COLOR": "LOGOFARBE"
"PLAYER_MORPH_EAR_ROLL_TEXT": "OHRLINIE"
"RIM_SET_004": "FELGENSATZ 4"
"VEHICLE_PAINT_RUBBER": "GUMMI"
"COLOR_SLOT_INTERIOR": "INNENAUSSTATTUNG"
"COMPONENT_OPTION_6": "OPTION 6"
"SLOT_ENGINE": "MOTOR"
"SK05": "HAUT05"
"CUSTOM_WALK_5": "HÜPFEND"
"PLAYER_MORPH_MOUTH_CORNERS_TEXT": "MUNDWINKEL"
"CUST_COLOR_CLOTHING_VIOLET-RED_7": "VIOLETTROT 7"
"CUST_COLOR_CLOTHING_BROWNS_6": "BRAUN 6"
"CUST_COMP_MUSTACHE_11": "KOTELETTEN"
"COMPONENT_DECAL_4": "AUFKLEBER 4"
"CUST_VARIANT_BRONZE": "BRONZE"
"CUST_SKIN_BLACK_01": "DUNKELHÄUTIG 1"
"CUST_TATTOO_FACE_1": "WILDKATZE"
"CUST_ITEM_CF_IMPN_SUIT_F_PATTDRESS": "GOGO-KLEID"
"CUST_ITEM_WOMEN'S_LYCRA_PANTS": "GOLFHOSE"
"CUST_SKIN_PURPLE_2": "SAINTS-LILA"
"CUSTOM_WALK_11": "GANGSTER-STIL 7"
"PLAYER_MORPH_CHEEKBONES_ELEVATION_TEXT": "WANGENKNOCHENHÖHE"
"CUST_COMP_FACE_MAKEUP_6": "SCHLANGENSCHUPPEN"
"VEHICLE_COLOR_PRETTY_PRINCESS_PINK": "PRINZESSINNENPINK"
"VEHICLE_PAINT_GLASS": "GLAS"
"MALE_AVERAGE": "MÄNNLICH, DURCHSCHNITTLICH"
"CUST_ITEM_WOMEN'S_STANDARD_PANTIES": "STANDARDSCHLÜPFER"
"CUST_VOICE_MALE_BLACK": "MÄNNLICH 2"
"SURGEON_CAT_SKIN": "HAUT"
"CUST_TATTOO_RHAND_6": "UND STERBEN LASSEN"
"VEHICLE_PAINT_CLASSIC_70_S___80_S": "KLASSISCH 70ER - 80ER"
"HAIR_COLOR_GREEN": "GRÜN"
"LOGO_SHARKS_TEXT_1": "HAIE-TEXT 1"
"CUST_VARIANT_POTHEAD": "FLAMMEN"
"CUST_VARIANT_FISHNET_2": "NETZ 2"
"CUST_ITEM_CM_IMPM_WRST_M_WATCH": "KABANA UHR"
"CUST_RONIN_COMPLIMENT_A": "RONIN-KOMLIMENT 1"
"CUST_TATTOO_LCALF_5": "DRACHENODEM"
"CUST_VARIANT_LEATHER": "LEDER"
"CUST_ITEM_FEMALE_LETSPRETEND_OUTFIT_D": "LETS PRETEND DAMEN D"
"CUST_ITEM_CM_LLA_LBDY_M_GIMPPANTS": "SAFEWORD-HOSE"
"CUST_TATTOO_LOWER_ARM_LEFT": "LINKER UNTERARM"
"CUST_COMPLIMENT_F": "MEGAFON"
"PLAYER_MORPH_FACE_HEIGHT_TEXT": "GESICHTSHÖHE"
"CUST_COLOR_CLOTHING_GREYS_7": "GRAU 7"
"CUST_COMP_CHEEK_MAKEUP_1": "GERÖTET"
"CUST_VARIANT_THINSTRIPES": "DÜNNE STREIFEN"
"CUST_VARIANT_SAILOR": "SEEMANN"
"CUST_ITEM_CM_NECK_LL_DOGTAGS": "MILITÄR"
"CUST_TATTOO_UPPER_ARM_RIGHT": "RECHTER OBERARM"
"PLAYER_MORPH_TEMPLES_ELEVATION_TEXT": "SCHLÄFENHÖHE"
"VEHICLE_COLOR_BLUSH_GRAY": "RÖTLICHGRAU"
"HAIR_White": "WEISS"
"CUST_ITEM_CM_CNC_LBDY_M_JEANS": "CROOKS & CASTLES JEANS"
"CUST_ITEM_LONG_ROPE_CHAIN_2": "BAD-GIRL-KETTE"
"CUST_SKIN_OILED_1": "EINGEÖLT KAUKASISCH 1"
"CUSTOM_WALK_FEMALE_3": "GANGSTER-FRAU"
"PLAYER_MORPH_NOSE_SIZE_TEXT": "NASENGRÖSSE"
"PLAYER_CREATION_PRESET_WHITE": "KAUKASISCH"
"SLOT_FRONT_BUMPER": "FRONTSTOSSSTANGE"
"DARK_BLUE-GREEN": "DUNKELBLAUGRÜN"
"CUST_TATTOO_LOWER_CHEST": "UNTERE BRUST"
"CUST_INSULT_I": "STRASSENKÄMPFER"
"CUST_MAKEUP_AREA_CHEEKS": "WANGEN"
"CUST_TERTIARY_COLOR": "DRITTFARBE"
"CUST_VARIANT_SPARKLE": "FUNKEN"
"PLAYER_MORPH_CROWN_WIDTH_TEXT": "SCHEITELBREITE"
"COLOR_SLOT_PAINT_1_AND_RIMS_1": "LACK 1 UND FELGEN 1"
"COLOR_SLOT_CASKET": "SARG"
"CUST_ITEM_CF_IMPR_UBDY_F_SHIRTLOWV": "HILLS T-SHIRT"
"CUST_ITEM_CF_NLMF_HAND_F_GLOVESOFNGR": "FINGERLOSE STEAMPUNK-HANDSCHUHE"
"CUST_ITEM_CM_NLMB_UBDY_M_SHIRTCOMBO": "BROSEPH SHIRT KOMBI"
"PLAYER_MORPH_EARS_DEPTH_TEXT": "OHRTIEFE"
"CUST_GANG_GUARD": "WÄRTER"
"RIM_SET_021": "FELGENSATZ 21"
"HAIR_COLOR_BLACK": "SCHWARZ"
"CUST_CAT_HANDS": "HÄNDE"
"CUST_TATTOO_HAND_RIGHT": "RECHTE HAND"
"CUST_WPN_UPGRADE_DESC_PISTOL_GANG_3": "Erhöhe die Magazingröße."
"CUST_COMP_EYE_MAKEUP_5": "LAUFSTEG"
"SLOT_WHEELS": "RÄDER"
"LOGO_NUMBER7": "NUMMER 7"
"LOGO_SKEETERS_1": "SKEETERS 1"
"CUST_COLOR_CLOTHING_GREYS_3": "GRAU 3"
"CUST_WPN_UPGRADE_DESC_GRENADE_FLASHBANG_4": "Pass auf den Gestank auf."
"CUST_COMP_CHEEK_MAKEUP_5": "MELANCHOLISCH"
"CUST_ITEM_CF_LPH_LBDY_F_CLSKIRT": "CHEERLEADER-ROCK"
"CUST_ITEM_CF_PSH_FOOT_F_CHUCKS": "INDIE-TRETER"
"CUST_TATTOO_LCALF_1": "ZUSATZMUNITION"
"CUST_VARIANT_STARS": "STERNE"
"CUST_ITEM_FEMALE_NLM_EARRINGS_3": "SCHLECHTE-LAUNE-OHRRINGE"
"CUST_ITEM_CM_LPC_LBDY_M_HEROPANTS": "HELD-VON-STEELPORT-HOSE"
"CUST_ITEM_CF_HAIR_PIXIE": "PIXIE"
"CUST_COMPLIMENT_B": "SPRACHLOS"
"CUST_VARIANT_PUNK": "PUNK"
"CUST_VARIANT_KAHKI": "KHAKI"
"CUST_VARIANT_TARZAAN": "DSCHUNGEL"
"CUST_ITEM_CF_LPE_FOOT_F_MBOOTS": "KAMPFSTIEFEL"
"CUST_ITEM_SINGLE_DIAMOND_RIGHT_EAR": "KNOCKOUT-BANDAGE"
"CUST_INSULT_M": "AUFERSTEHUNG"
"CUST_GANG_WRESTLER": "WRESTLER"
"VEHICLE_COLOR_BERRY_RED": "BEERENROT"
"SLOT_DOOR_MODS": "TÜRMODS"
"CUST_VARIANT_3_TYPE_SOLID": "DREIFARBIG"
"CUST_ITEM_CM_IMPM_FOOT_M_SANDLES": "KABANA SANDALEN"
"CUST_SKIN_OILED_5": "EINGEÖLT DUNKELHÄUTIG 2"
"CUSTOM_WALK_FEMALE_7": "SCHWINGSTILFRAU"
"CUST_MORPH_CAT_CHEEKBONES": "WANGENKNOCHEN"
"PLAYER_MORPH_SKULL_BACK_WIDTH_TEXT": "HINTERKOPFBREITE"
"PLAYER_MORPH_MOUTH_DEPTH_TEXT": "MUNDTIEFE"
"CUST_WPN_UPGRADE_DESC_RIFLE_STAG_4": "Erhöhe die Schussfrequenz. Ein verlängerter Lauf verringert den Rückstoß."
"CUST_TATTOO_UPPBACK_4": "LUTSCH DIE KRÖTE"
"VEHICLE_COLOR_DEEP_BRUNSWICK_GREEN": "BRAUNSCHWEIGER DUNKELGRÜN"
"VEHICLE_COLOR_CATALYST_GREEN": "CATALYST-GRÜN"
"SLOT_GAS_CAPS": "TANKDECKEL"
"SUIT_1": "ANZUG 1"
"LOGO_VIRAL_2": "VIRAL 2"
"CUST_WEAR_TUCKED_BUTTONED_EXTRA_HIGH_PANT_NO_SUSPENDERS_TIE": "IN HOSE, GESCHL., S. HOHE HOSE, K. TRÄGER, KRAW."
"LIGHT_BROWN": "HELLBRAUN"
"LOGO_STALKER": "STALKER"
"CUST_VARIANT_CAMO": "TARNMUSTER"
"CUST_ITEM_FEMALE_LL_UNDWEAR_2": "WAHRE-LIEBE-TANGA"
"CUST_ITEM_CF_PSA_UBDY_F_GFXHOODIEUP": "SAINTS PULLI KAPUZE AUFGESETZT"
"CUST_ITEM_RIGHT_ENTIRE_RIGHT_ARM_MATTS_SLEEVE_1": "MURDERBRAWL-HANDSCHUH"
"PLAYER_MORPH_NOSE_STYLE_TEXT": "NASENSTIL"
"FACIAL_EXPRESSION_HAUGHTY": "ARROGANT"
"PLAYER_MORPH_NOSTRIL_MIDDLE_HEIGHT_TEXT": "NASENFLÜGELMITTELLÄNGE"
"CUST_COMP_EYE_MAKEUP_1": "WASCHBÄRAUGEN"
"LOGO_SKEETERS_5": "SKEETERS 5"
"LOGO_NUMBER3": "NUMMER 3"
"CUST_VARIANT_BRA_2": "BLUMEN"
"CUST_ITEM_CM_LPH_LBDY_M_PIRATEPANTS": "KAPITÄNSHOSE"
"HAIR_COLOR_BLEACHED": "WASSERSTOFFBLOND"
"CUST_ITEM_FEMALE_NLM_OUTFIT_C": "GOTH FASHION"
"CUST_ITEM_CARDINAL_OUTFIT": "DER KARDINAL"
"PLAYER_MORPH_EAR_DEPTH_TEXT": "OHRTIEFE"
"CUST_WPN_UPGRADE_DESC_SPECIAL_STRIKE_4": "Ziele schneller und trage mehr Munition."
"CUST_TATTOO_NECK_2": "LIZZY"
"CUST_COMP_BODY_MASK_2": "BIKINIBRÄUNE, SHORTS"
"LOGO_MUSEUM_ERO_2": "EROMENOS MUSEUM 2"
"CUST_VARIANT_2COLOR_THICK": "ZWEIFARBIG, DICK"
"CUST_ITEM_CF_HAIR_SWIRLUP": "POMPADOUR"
"CUST_COLOR_CLOTHING_ORANGE_8": "ORANGE 8"
"CUST_COMP_EYE_MAKEUP_16": "ÄGYPTISCHER PRIESTER"
"VEHICLE_COLOR_BRUISED_PLUM_PURPLE": "VEILCHENLILA"
"CUST_VARIANT_BEAT_COP": "POLIZEIABZEICHEN"
"CUST_ITEM_CM_FPIC_SETE": "PIERCINGS ÜBERALL"
"CUST_ITEM_FEMALE_LP_UNDWEAR_2": "BIKINIUNTERTEIL"
"CUST_ITEM_CF_NLMC_NECK_M_CHOKER": "GOTH-HALSBAND"
"CUST_TATTOO_UPPER_BACK": "OBERER RÜCKEN"
"VEHICLE_COLOR_TABLETOP_GRAY": "TISCHGRAU"
"VEHICLE_COLOR_REGATTA_BLUE": "REGATTABLAU"
"COMPONENT_OPTION_2": "OPTION 2"
"SK01": "HAUT01"
"CUST_VARIANT_THIN_TRI_COLOR": "DÜNN, DREIFARBIG"
"CUST_WEAR_TUCKED_BUTTONED_TIE": "IN HOSE, GESCHLOSSEN, KRAWATTE"
"CUST_ITEM_CF_PSF_UBDY_M_JERSEY32": "FREIWURF-JERSEY DAMEN"
"CUST_ITEM_CM_SAINTSHEADSET": "ASTRO A40 SAINTS HEADSET"
"CUSTOM_WALK_1": "GANGSTER-STIL 1"
"PLAYER_MORPH_UPPER_LIP_MIDDLE_ELEVATION_TEXT": "OBERLIPPENMITTELHÖHE"
"PLAYER_CREATION_RANDOMIZE": "ZUFALL"
"CUST_TATTOO_LOWBACK_6": "ASSE HOCH"
"VEHICLE_PAINT_HEROGLOSS_PAINT": "GLÄNZEND"
"CUST_VARIANT_POLISHED_LEATHER": "GLATTLEDER"
"CUST_ITEM_CF_PSG_UBDY_F_TANKTOP": "TANK TOP"
"MENU_STYLE": "STIL"
"CUST_TATTOO_FACE_5": "MASSENPRODUKTION"
"LOGO_BROTHERHOOD_2": "BRUDERSCHAFT 2"
"CUST_VARIANT_COLOR_BOTTOMS": "UNTEN BUNT"
"CUST_WEAR_FOREWARD": "VORWÄRTS"
"CUST_ITEM_LONG_SLEEVE_BUTTONED_SHIRT_AND_BOW_TIE": "STYLISHER MANTEL MIT WESTE"
"CUSTOM_WALK_15": "GANGSTER-STIL 10"
"PLAYER_MORPH_FAT_TEXT": "FETT"
"PLAYER_MORPH_CHEEKS_TEXT": "WANGEN"
"CUST_COLOR_CLOTHING_VIOLET-RED_3": "VIOLETTROT 3"
"CUST_COLOR_CLOTHING_BROWNS_2": "BRAUN 2"
"CUST_COMP_MUSTACHE_15": "KINNBÄRTCHEN"
