"CUST_ITEM_CF_HAIR_MED": "セミロング"
"CUST_CAT_EAR_PIERCINGS": "ピアス（耳）"
"CUST_LOGO_COLOR": "ロゴカラー"
"PLAYER_MORPH_EAR_ROLL_TEXT": "耳の角度2"
"RIM_SET_004": "リムセット4"
"VEHICLE_PAINT_RUBBER": "ゴム"
"COLOR_SLOT_INTERIOR": "内装"
"COMPONENT_OPTION_6": "オプション6"
"SLOT_ENGINE": "エンジン"
"SK05": "肌05"
"CUSTOM_WALK_5": "ヒップホップ"
"PLAYER_MORPH_MOUTH_CORNERS_TEXT": "口端の角度"
"CUST_COLOR_CLOTHING_VIOLET-RED_7": "バイオレットレッド7"
"CUST_COLOR_CLOTHING_BROWNS_6": "ブラウン6"
"CUST_COMP_MUSTACHE_11": "マトンチョップ"
"COMPONENT_DECAL_4": "デカール4"
"CUST_VARIANT_BRONZE": "ブロンズ"
"CUST_SKIN_BLACK_01": "黒人1"
"CUST_TATTOO_FACE_1": "パンサー"
"CUST_ITEM_CF_IMPN_SUIT_F_PATTDRESS": "グルーヴィーワンピース"
"CUST_ITEM_WOMEN'S_LYCRA_PANTS": "ゴルフパンツ"
"CUST_SKIN_PURPLE_2": "セインツパープル"
"CUSTOM_WALK_11": "悪党7"
"PLAYER_MORPH_CHEEKBONES_ELEVATION_TEXT": "頬骨の高さ"
"CUST_COMP_FACE_MAKEUP_6": "スネーク"
"VEHICLE_COLOR_PRETTY_PRINCESS_PINK": "プリティープリンセスピンク"
"VEHICLE_PAINT_GLASS": "ガラス"
"MALE_AVERAGE": "男性 標準"
"CUST_ITEM_WOMEN'S_STANDARD_PANTIES": "パンティ"
"CUST_VOICE_MALE_BLACK": "男性2"
"SURGEON_CAT_SKIN": "皮膚"
"CUST_TATTOO_RHAND_6": "AND LET DIE"
"VEHICLE_PAINT_CLASSIC_70_S___80_S": "クラシック70's - 80's"
"HAIR_COLOR_GREEN": "グリーン"
"LOGO_SHARKS_TEXT_1": "SHARKS TEXT 1"
"CUST_VARIANT_POTHEAD": "炎"
"CUST_VARIANT_FISHNET_2": "フィッシュネット2"
"CUST_ITEM_CM_IMPM_WRST_M_WATCH": "カバナウォッチ"
"CUST_RONIN_COMPLIMENT_A": "ローニン敬意1"
"CUST_TATTOO_LCALF_5": "ドラゴンソウル"
"CUST_VARIANT_LEATHER": "レザー"
"CUST_ITEM_FEMALE_LETSPRETEND_OUTFIT_D": "LETS PRETEND（女性用）D"
"CUST_ITEM_CM_LLA_LBDY_M_GIMPPANTS": "スレイブパンツ"
"CUST_TATTOO_LOWER_ARM_LEFT": "左前腕"
"CUST_COMPLIMENT_F": "スクルーブ"
"PLAYER_MORPH_FACE_HEIGHT_TEXT": "顔の長さ"
"CUST_COLOR_CLOTHING_GREYS_7": "グレー7"
"CUST_COMP_CHEEK_MAKEUP_1": "ブラッシュ"
"CUST_VARIANT_THINSTRIPES": "ストライプ（薄）"
"CUST_VARIANT_SAILOR": "水兵"
"CUST_ITEM_CM_NECK_LL_DOGTAGS": "ドッグタグ"
"CUST_TATTOO_UPPER_ARM_RIGHT": "右肩"
"PLAYER_MORPH_TEMPLES_ELEVATION_TEXT": "こめかみの高さ"
"VEHICLE_COLOR_BLUSH_GRAY": "ブラッシュ・グレー"
"HAIR_White": "白"
"CUST_ITEM_CM_CNC_LBDY_M_JEANS": "CROOKS & CASTLESジーンズ"
"CUST_ITEM_LONG_ROPE_CHAIN_2": "バッドガールチェーン"
"CUST_SKIN_OILED_1": "オイリーな白人1"
"CUSTOM_WALK_FEMALE_3": "女性悪党"
"PLAYER_MORPH_NOSE_SIZE_TEXT": "鼻の大きさ"
"PLAYER_CREATION_PRESET_WHITE": "白人"
"SLOT_FRONT_BUMPER": "フロントバンパー"
"DARK_BLUE-GREEN": "ダークブルーグリーン"
"CUST_TATTOO_LOWER_CHEST": "胸下部"
"CUST_INSULT_I": "必殺技"
"CUST_MAKEUP_AREA_CHEEKS": "頬"
"CUST_TERTIARY_COLOR": "サードカラー"
"CUST_VARIANT_SPARKLE": "スパークル"
"PLAYER_MORPH_CROWN_WIDTH_TEXT": "頭頂部の幅"
"COLOR_SLOT_PAINT_1_AND_RIMS_1": "塗装1とリム1"
"COLOR_SLOT_CASKET": "棺おけ"
"CUST_ITEM_CF_IMPR_UBDY_F_SHIRTLOWV": "ヒルズVネックTシャツ"
"CUST_ITEM_CF_NLMF_HAND_F_GLOVESOFNGR": "スチームパンク指出しグローブ"
"CUST_ITEM_CM_NLMB_UBDY_M_SHIRTCOMBO": "ブラザーシャツセット"
"PLAYER_MORPH_EARS_DEPTH_TEXT": "耳の前後位置"
"CUST_GANG_GUARD": "ガーズマン"
"RIM_SET_021": "リムセット21"
"HAIR_COLOR_BLACK": "ブラック"
"CUST_CAT_HANDS": "手"
"CUST_TATTOO_HAND_RIGHT": "右手"
"CUST_WPN_UPGRADE_DESC_PISTOL_GANG_3": "装弾数が増えます"
"CUST_COMP_EYE_MAKEUP_5": "キャットウォーク"
"SLOT_WHEELS": "ホイール"
"LOGO_NUMBER7": "NUMBER 7"
"LOGO_SKEETERS_1": "SKEETERS 1"
"CUST_COLOR_CLOTHING_GREYS_3": "グレー3"
"CUST_WPN_UPGRADE_DESC_GRENADE_FLASHBANG_4": "悪臭に注意しましょう"
"CUST_COMP_CHEEK_MAKEUP_5": "メランコリー"
"CUST_ITEM_CF_LPH_LBDY_F_CLSKIRT": "チアリーダースカート"
"CUST_ITEM_CF_PSH_FOOT_F_CHUCKS": "インディーバンドスニーカー"
"CUST_TATTOO_LCALF_1": "弾丸"
"CUST_VARIANT_STARS": "スター"
"CUST_ITEM_FEMALE_NLM_EARRINGS_3": "アンハッピーイヤリング"
"CUST_ITEM_CM_LPC_LBDY_M_HEROPANTS": "スティールポートヒーローパンツ"
"CUST_ITEM_CF_HAIR_PIXIE": "ベリーショート"
"CUST_COMPLIMENT_B": "驚愕"
"CUST_VARIANT_PUNK": "パンク"
"CUST_VARIANT_KAHKI": "カーキ"
"CUST_VARIANT_TARZAAN": "ジャングル"
"CUST_ITEM_CF_LPE_FOOT_F_MBOOTS": "バトルブーツ"
"CUST_ITEM_SINGLE_DIAMOND_RIGHT_EAR": "ノックアウトバンデージ"
"CUST_INSULT_M": "アセンション"
"CUST_GANG_WRESTLER": "レスラー"
"VEHICLE_COLOR_BERRY_RED": "ベリー・レッド"
"SLOT_DOOR_MODS": "ドア改造"
"CUST_VARIANT_3_TYPE_SOLID": "3色"
"CUST_ITEM_CM_IMPM_FOOT_M_SANDLES": "カバナサンダル"
"CUST_SKIN_OILED_5": "オイリーな黒人2"
"CUSTOM_WALK_FEMALE_7": "女性スイング"
"CUST_MORPH_CAT_CHEEKBONES": "頬骨"
"PLAYER_MORPH_SKULL_BACK_WIDTH_TEXT": "後頭部の幅"
"PLAYER_MORPH_MOUTH_DEPTH_TEXT": "口の深さ"
"CUST_WPN_UPGRADE_DESC_RIFLE_STAG_4": "連射速度を上げます。ロングバレルは反動を軽減します"
"CUST_TATTOO_UPPBACK_4": "カエル"
"VEHICLE_COLOR_DEEP_BRUNSWICK_GREEN": "ディープブランスウィック・グリーン"
"VEHICLE_COLOR_CATALYST_GREEN": "カタリスト・グリーン"
"SLOT_GAS_CAPS": "注油口キャップ"
"SUIT_1": "スーツ1"
"LOGO_VIRAL_2": "VIRAL 2"
"CUST_WEAR_TUCKED_BUTTONED_EXTRA_HIGH_PANT_NO_SUSPENDERS_TIE": "裾入れ ボタン留 かなり腰深 サスペンダー無 ネクタイ有"
"LIGHT_BROWN": "ライトブラウン"
"LOGO_STALKER": "STALKER"
"CUST_VARIANT_CAMO": "迷彩柄"
"CUST_ITEM_FEMALE_LL_UNDWEAR_2": "オールマイラブTバック"
"CUST_ITEM_CF_PSA_UBDY_F_GFXHOODIEUP": "セインツパーカー（フードアップ）"
"CUST_ITEM_RIGHT_ENTIRE_RIGHT_ARM_MATTS_SLEEVE_1": "マーダーブロウルガントレット"
"PLAYER_MORPH_NOSE_STYLE_TEXT": "鼻の形"
"FACIAL_EXPRESSION_HAUGHTY": "傲慢"
"PLAYER_MORPH_NOSTRIL_MIDDLE_HEIGHT_TEXT": "鼻腔中央の高さ"
"CUST_COMP_EYE_MAKEUP_1": "パンダ目"
"LOGO_SKEETERS_5": "SKEETERS 5"
"LOGO_NUMBER3": "NUMBER 3"
"CUST_VARIANT_BRA_2": "花柄"
"CUST_ITEM_CM_LPH_LBDY_M_PIRATEPANTS": "パイレーツパンツ"
"HAIR_COLOR_BLEACHED": "ブリーチ"
"CUST_ITEM_FEMALE_NLM_OUTFIT_C": "ゴシックスタイル"
"CUST_ITEM_CARDINAL_OUTFIT": "カーディナル"
"PLAYER_MORPH_EAR_DEPTH_TEXT": "耳の前後位置"
"CUST_WPN_UPGRADE_DESC_SPECIAL_STRIKE_4": "照準が速くなり、使用回数が増えます"
"CUST_TATTOO_NECK_2": "リザード"
"CUST_COMP_BODY_MASK_2": "ビキニショーツ"
"LOGO_MUSEUM_ERO_2": "EROMENOS MUSEUM 2"
"CUST_VARIANT_2COLOR_THICK": "2色（濃）"
"CUST_ITEM_CF_HAIR_SWIRLUP": "ポンパドール"
"CUST_COLOR_CLOTHING_ORANGE_8": "オレンジ8"
"CUST_COMP_EYE_MAKEUP_16": "エジプシャン司祭"
"VEHICLE_COLOR_BRUISED_PLUM_PURPLE": "ブルーズプラム・パープル"
"CUST_VARIANT_BEAT_COP": "巡査バッジ"
"CUST_ITEM_CM_FPIC_SETE": "ピアスオールセット"
"CUST_ITEM_FEMALE_LP_UNDWEAR_2": "セクシービーチビキニボトム"
"CUST_ITEM_CF_NLMC_NECK_M_CHOKER": "ゴシックチョーカー"
"CUST_TATTOO_UPPER_BACK": "背中上部"
"VEHICLE_COLOR_TABLETOP_GRAY": "テーブルトップ・グレー"
"VEHICLE_COLOR_REGATTA_BLUE": "レガッタ・ブルー"
"COMPONENT_OPTION_2": "オプション2"
"SK01": "肌01"
"CUST_VARIANT_THIN_TRI_COLOR": "3色（薄）"
"CUST_WEAR_TUCKED_BUTTONED_TIE": "裾入れ ボタン留 ネクタイ有"
"CUST_ITEM_CF_PSF_UBDY_M_JERSEY32": "フリースロージャージ（ウィメンズ）"
"CUST_ITEM_CM_SAINTSHEADSET": "ASTRO A40 セインツヘッドセット"
"CUSTOM_WALK_1": "悪党1"
"PLAYER_MORPH_UPPER_LIP_MIDDLE_ELEVATION_TEXT": "上唇中央の高さ"
"PLAYER_CREATION_RANDOMIZE": "ランダム"
"CUST_TATTOO_LOWBACK_6": "トランプ"
"VEHICLE_PAINT_HEROGLOSS_PAINT": "グロス"
"CUST_VARIANT_POLISHED_LEATHER": "研磨革"
"CUST_ITEM_CF_PSG_UBDY_F_TANKTOP": "タンクトップ"
"MENU_STYLE": "スタイル"
"CUST_TATTOO_FACE_5": "バーコード"
"LOGO_BROTHERHOOD_2": "BROTHERHOOD 2"
"CUST_VARIANT_COLOR_BOTTOMS": "色つきボトムス"
"CUST_WEAR_FOREWARD": "フォワード"
"CUST_ITEM_LONG_SLEEVE_BUTTONED_SHIRT_AND_BOW_TIE": "スタイリッシュジャケット&ベスト"
"CUSTOM_WALK_15": "悪党10"
"PLAYER_MORPH_FAT_TEXT": "脂肪"
"PLAYER_MORPH_CHEEKS_TEXT": "頬"
"CUST_COLOR_CLOTHING_VIOLET-RED_3": "バイオレットレッド3"
"CUST_COLOR_CLOTHING_BROWNS_2": "ブラウン2"
"CUST_COMP_MUSTACHE_15": "チンストラップ"
"SLOT_FRONT_FENDERS": "フロントフェンダー"
"CUST_VARIANT_LEOPARD_2": "ヒョウ柄2"
"CUST_SKIN_BLACK_05": "黒人5"
"CUST_TATTOO_RHAND_2": "ボーン"
"BRIGHT_YELLOW": "明るいイエロー"
"CUST_VARIANT_DIAMOND": "ダイヤモンド"
"CUST_COMP_FACE_MAKEUP_2": "ハーフ&ハーフ"
"HAIR_COLOR_PINK_MATTE": "ピンク（マット）"
"CUST_VARIANT_STRIPESB": "ストライプ2"
"CUST_VARIANT_COLORED_COLLAR": "色つき襟"
"CUST_ITEM_CF_NLME_UBDY_F_SADTEXT": "SADパーカー"
"CUST_SKIN_HISPANIC_02": "ラテンアメリカ系2"
"CUST_COLOR_ROSE_2": "ローズ2"
"LOGO_NUMBER10": "NUMBER 10"
"CUST_VARIANT_COLORB": "スタイル2"
"RIM_SET_013": "リムセット13"
"LOGO_K12": "K12 97.6"
"CUST_ITEM_CF_LLR_HAND_F_LACYGLOVE": "セクシーレースグローブ"
"CUST_SKIN_DEMON": "デーモンピンク"
"CUST_PRESET_AGE": "年齢"
"PLAYER_MORPH_AFRICAN_TEXT": "アフリカン"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_4": "バイオレットブルー4"
"VEHICLE_COLOR_BRONZE": "ブロンズ"
"CUST_VARIANT_TYEDYE": "スタイル1"
"CUST_CAT_LOWER_BODY": "ボトムス"
"CUST_TATTOO_ARMS": "腕"
"PLAYER_MORPH_MOUTH_SIDES_ELEVATION_TEXT": "口角の高さ"
"PLAYER_CREATION_FIGURE_OBESE": "肥満"
"CUST_COLOR_CLOTHING_GREENS_8": "グリーン8"
"CUST_TATTOO_STOMACH_6": "セインツ"
"CUST_WEAR_TATTOO_MAY_LION": "メイライオン"
"CUST_WEAR_FINGER_RR": "右薬指"
"CUST_ITEM_CM_DLC_UBDY_M_GPPANTS": "ゲンキパンツ"
"CUST_COMPLIMENT_S": "リバー"
"Gang_Customization": "ギャングカスタマイズ"
"BRIGHT_PINK": "明るいピンク"
"CUST_SKIN_CAUCASIAN_04": "白人4"
"FACIAL_EXPRESSION_INEBRIATED": "ヨッパライ"
"PLAYER_MORPH_DOUBLE_CHIN_DEPTH_TEXT": "二重顎の出っ張り"
"PLAYER_MORPH_BALL_ELEVATION_TEXT": "鼻先の位置"
"PLAYER_MORPH_BROW_TEXT": "眉"
"CUST_VARIANT_BUTTONED_SHIRT": "ドレスシャツ"
"CUST_ITEM_CM_PSF_FOOT_M_HIGHTOPS": "バスケットボールシューズ"
"CUST_TATTOO_RARM_3": "ブラザーフッド"
"VEHICLE_COLOR_TINT_80": "スモーク80%%"
"RIM_157": "RADIANT"
"SLOT_DECAL_9": "ステッカー9"
"CUST_VARIANT_ARMY": "アーミー"
"CUST_SKIN_ASIAN_05": "アジア系5"
"PLAYER_MORPH_JAW_ELEVATION_TEXT": "顎骨の高さ"
"CUST_COLOR_CLOTHING_BLUES_9": "ブルー9"
"VEHICLE_PAINT_CLOTH": "布"
"CUST_MORPH_CAT_CROWN": "頭頂部"
"PLAYER_MORPH_EARS_HEIGHT_TEXT": "耳の長さ"
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_LAUNCHER_3": "装弾数が増えます"
"CUST_GANG_HO": "エステティシャン"
"COLOR_SLOT_PAINT_1_AND_TRIM": "塗装1とトリム"
"CUST_VARIANT_PINSTRIPES": "ピンストライプ"
"CUST_VARIANT_2COLOR_THIN": "2色（薄）"
"PLAYER_MORPH_CHIN_PITCH_TEXT": "顎の角度"
"PLAYER_MORPH_BRIDGE_LENGTH_TEXT": "鼻梁の長さ"
"CUST_TATTOO_LFORARM_1": "王冠"
"COLOR_SLOT_TRIM_2": "トリム2"
"CUST_VARIANT_SERGIO": "セルジオ"
"CUST_ITEM_BASIC_T_SHIRT": "ボマージャケット"
"LOGO_FIRE": "FIRE FIGHTER"
"CUST_VARIANT_SOLID2": "無地サンバイザー"
"CUST_ITEM_LEFT_UPPER_ARM_BARB_WIRE_01": "マーダーブロウルガントレット"
"CUST_PRESET_FIGURE": "体格"
"PLAYER_MORPH_NOSE_DEPTH_TEXT": "鼻のほりの深さ"
"CUST_COMP_MUSTACHE_23": "ドアノッカー"
"CUST_VARIANT_LARGE_POLKA_DOTS": "水玉模様ラージ"
"CUST_WEAR_LOW_LEFT_UNZIPPED_RIGHT_ZIPPED": "左ジッパー開け（低）"
"CUST_ITEM_CF_NLME_LBDY_F_KHAKIS": "カモ柄カプリ"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_A": "ストリートウォーカー"
"CUST_CAT_MEDALLION": "メダリオン"
"CUST_TATTOO_LOWER_ARM_RIGHT": "右前腕"
"PLAYER_MORPH_BROW_SPACING_TEXT": "眉の間隔"
"LOGO_GHETTO_1": "GHETTOBLASTER 1"
"PLAYER_MORPH_MOUTH_STYLE_TEXT": "口の形"
"CUST_ITEM_CM_NLMD_LBDY_M_PANTS": "パンクパンツ"
"CUST_ITEM_MALE_MURDERBRAWL_OUTFIT": "レスリングスーツ（男性用）"
"CUST_CAT_EYES": "目"
"CUST_COLOR_CLOTHING_YELLOWS_1": "イエロー1"
"CUST_TATTOO_RUPPARM_1": "ウルフ"
"VEHICLE_PAINT_MODERN": "モダン"
"SLOT_SPARE_TIRE": "スペアタイヤ"
"MALE_OBESE": "男性 肥満"
"CUST_VARIANT_ROPES": "ロープ"
"CUST_ITEM_CM_DLC_M_EARRINGS01": "ズィーモスフープイヤリング"
"CUST_ITEM_CM_NYTEBLAYDE": "ナイトブレイド"
"CUST_ITEM_CM_LLN_UBDY_M_SEQSHIRT": "ディスコフィーバーシャツ"
"PLAYER_MORPH_FACE_SCALE_TEXT": "顔の大きさ"
"CUST_COLOR_CLOTHING_VIOLET_2": "バイオレット2"
"CUST_WEAR_BOTH_ROLLED_HIGH": "左右ロールアップ（高）"
"CUST_ITEM_CM_NECK_PEARLS": "クラシックネックレス"
"CUST_ITEM_CM_IMPN_LBDY_M_PANTS": "シンプルドレスパンツ"
"CUST_ITEM_CF_IMPR_UBDY_F_SHIRT": "ヒルズTシャツ"
"CUST_ITEM_CF_NLMH_EYES_F_HSNGLSTASSLES": "キャンディーキッドサングラス"
"CUST_ITEM_BASIC_LIPSTICK": "ステイシーヘア&ヘアバンド"
"CUST_BRO_COMPLIMENT_C": "ブラザーフッド敬意3"
"CUST_MOVEMENT_MELEE": "格闘スタイル"
"CUST_TATTOO_LFORARM_5": "ホイール"
"CUST_VARIANT_COW": "牛"
"CUST_ITEM_CM_IMPL_LBDY_M_DRESSPANTS": "モデルファッションパンツ"
"CUST_ITEM_CF_IMPR_UBDY_F_JSHIRTLOW": "ヒルズジャケット&ベスト"
"CUST_ITEM_CM_NATIONALGUARD": "スティールポート警備隊ユニフォーム"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_D": "エレクトロDJ"
"CUST_GANG_LUCHADOR": "ルチャドール"
"LOGO_NODRUGS": "NO DRUGS"
"CUST_VARIANT_DOTS": "ドット"
"CUST_ITEM_5_O_CLOCK_SHADOW_1": "無精髭"
"RACE_AFRICAN": "黒人"
"CUST_WPN_UPGRADE_DESC_PISTOL_POLICE_3": "攻撃力を上げ反動を軽減します"
"CUST_COMP_MUSTACHE_27": "ホースシュー"
"VEHICLE_COLOR_YELLOW_LIGHT_TINT": "ライトスモーク（イエロー）"
"VEHICLE_COLOR_MUSTARD_GREEN": "マスタード・グリーン"
"RIM_176": "SD FTN59"
"CUST_VARIANT_PLAIN": "プレイン"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_E": "バスケスタイル"
"CUST_TATTOO_TORSO_LOWER_BACK": "背中下部"
"CUST_ITEM_FEMALE_PS_UNDWEAR_3": "セインツワイルドGストリング"
"CUST_MOVEMENT_COMPLIMENT": "敬意"
"CUST_VARIANT_CIRCLE": "サークル"
"CUST_VARIANT_METAL": "メタル"
"CUST_VARIANT_FADED": "色あせ"
"CUST_ITEM_CM_DLC_KNIGHT": "ナイト"
"CUST_ITEM_FEMALE_LL_BRA_2": "トゥルーラブ"
"CUST_ITEM_CM_LLL_FOOT_M_LBOOTS": "ライダースレザーブーツ"
"CUST_DIALOG_DISROBE_TITLE": "衣服をすべて脱ぐ"
"CUST_WPN_UPGRADE_DESC_SPECIAL_SNIPER_4": "装弾数が増えます。ロングバレルは攻撃力を上げ\n反動を軽減します"
"VEHICLE_PAINT_CLASSIC_50_S___60_S": "クラシック50's - 60's"
"CUST_COLOR_BRIGHT_GREEN": "明るいグリーン"
"CUST_VARIANT_DROOPS": "垂れた"
"CUST_ITEM_CF_LLI_LBDY_F_SHORTS": "スキニーショートパンツ"
"CUST_ITEM_CF_NLME_UBDY_F_HOODIEUP": "ヒッピーパーカー（フードアップ）"
"CUST_ITEM_CM_PSI_EYES_M_SHADES": "ギャットスタイルサングラス"
"CUST_MENU_RACE_PRESETS": "人種プリセット"
"PLAYER_MORPH_MOUTH_SIZE_TEXT": "口の大きさ"
"CUST_COLOR_CLOTHING_VIOLET_6": "バイオレット6"
"SLOT_SECONDARY_SURFACES": "第2表面"
"LOGO_RFG": "RFG"
"CUST_VARIANT_SHAGGY": "ぼかし"
"CUST_MENU_WEAR_OPTION": "衣服オプション"
"PLAYER_MORPH_EARS_LENGTH_TEXT": "耳の幅"
"CUST_COLOR_CLOTHING_YELLOWS_5": "イエロー5"
"CUST_TATTOO_RUPPARM_5": "般若"
"VEHICLE_COLOR_FOREST_GREEN": "フォレストグリーン"
"VEHICLE_COLOR_ORANGE_DARK_TINT": "ダークスモーク（オレンジ）"
"SLOT_SPINNERS": "スピナー"
"LOGO_POT_LEAF": "POT LEAF"
"CUST_WEAR_UNBUTTONED": "ボタン開"
"CUST_ITEM_CM_IMPN_UBDY_M_TURTLENECK": "シンプルタートルネック"
"CUST_ITEM_WOMEN_S_PLATFORM_SHOES": "デスマッチブーツ"
"CUST_GANG_SPACE": "スペースセインツ"
"RIM_SET_017": "リムセット17"
"CUST_VARIANT_PATTERN_A": "スタイル1"
"CUST_WEAR_TOP_BUTTONED": "上ボタン留"
"CUST_ITEM_CM_LPG_SUIT_M_ANIMALSUIT": "アニマルボディスーツ"
"CUST_CAT_RIGHT_HAND": "右手"
"CUST_COLOR_RED_2": "レッド2"
"CUST_VARIANT_LARGE_STRIPE": "ストライプラージ"
"CUST_ITEM_CM_PSG_LBDY_M_TRACKPANTS": "トラックパンツ2"
"CUSTOM_WALK_FEMALE": "女性デフォルト"
"CUST_WPN_UPGRADE_DESC_GRENADE_EXPLOSIVE_3": "投てき距離が伸びます"
"CUST_TATTOO_STOMACH_2": "ロボット"
"CUST_COMP_MUSTACHE_4": "ダリ"
"LOGO_KRUNCH": "THE BLOOD 106.66"
"CUST_VARIANT_STRIPES_A": "ストライプ1"
"CUST_WEAR_BOTH": "両方"
"CUST_WEAR_TUCKED_EXTRA_HIGH_PANT_NO_SUSPENDERS": "裾入れ かなり腰深"
"CUST_ITEM_CF_LLI_UBDY_F_JCKTTUBETOP": "ジャケット&チューブトップ"
"CUST_COMPLIMENT_W": "応援"
"PLAYER_MORPH_UPPER_LIP_LENGTH_TEXT": "上唇の位置"
"PLAYER_MORPH_CHIN_WIDTH_TEXT": "顎の幅"
"COLOR_SLOT_PAINT_TRIM_AND_RIMS": "塗装とトリムとリム"
"PLAYER_MORPH_EAR_TIP_TEXT": "耳の尖り"
"CUST_ITEM_CF_PSD_UBDY_F_GFXHOODCOMBOUP": "ラウンジパーカー"
"CUST_ITEM_CF_PSF_UBDY_F_LEFLEUR": "フルール・ド・セインツパーカー"
"CUST_ITEM_CM_HAIR_TRIBALMULLET": "マエロマレット"
"PLAYER_MORPH_LOWER_LID_LENGTH_TEXT": "下まぶたの長さ"
"PLAYER_MORPH_EARS_TEXT": "耳"
"CUST_ITEM_CM_LLN_FOOT_M_LSHOES": "ディスコマンハイヒール"
"tat_neck_fleur": "フルール・ド・セインツ"
"CUST_TATTOO_RARM_7": "トライバルバンド"
"RIM_153": "LX-2"
"CUST_WEAR_UNTUCKED_TOP_BUTTON": "裾出し 上ボタン留"
"CUST_ITEM_CM_DLC_UBDY_M_GPTOP": "ゲンキトップス"
"CUST_ITEM_LPA_M_SPACESUIT": "スペースギャングスタスーツ"
"CUST_TATTOO_LOWER_LEG_LEFT": "左脚下部"
"CUST_SKIN_ASIAN_01": "アジア系1"
"CUST_VARIANT_POLKA_DOT": "水玉模様"
"CUST_ITEM_CF_RING_F_BIGGEM": "俺の秘宝ジュエリーセット"
"CUST_TATTOO_LOWER_LEG_RIGHT": "右脚下部"
"LOGO_UNIVERSITY_NEWS": "Stilwater U. News"
"Default": "デフォルト"
"LOGO_VOLITION_2": "VOLITION 2"
"LOGO_SECURITY_1": "SECURITY 1"
"CUST_ITEM_CF_HAIR_MEDIUMBOB": "ベーシックボブ"
"CUST_SAMEDI_COMPLIMENT_A": "サムディ敬意1"
"PLAYER_MORPH_CHEEKBONE_SIZE_TEXT": "頬骨の大きさ"
"VEHICLE_COLOR_ORANGE_LIGHT_TINT": "ライトスモーク（オレンジ）"
"RIM_130": "T130"
"CUST_ITEM_MALE_PS_UNDWEAR_1": "ロゴ入りボクサーパンツ"
"CUST_ITEM_FEMALE_NLM_BRA_1": "ブロークンハート"
"CUST_ITEM_CM_HAIR_MOHAWK": "モヒカン"
"DARK_BLUE": "ダークブルー"
"CUST_ITEM_MALE_LETSPRETEND_OUTFIT_A": "宇宙飛行士"
"CUST_SAMEDI_TAUNT_D": "サムディ挑発4"
"PLAYER_MORPH_NOSE_WIDTH_TEXT": "鼻の幅"
"VEHICLE_COLOR_SNAPPER_RED": "スナッパーレッド"
"CUST_COLOR_YELLOW_1": "イエロー1"
"CUST_ITEM_CM_FPIC_NOSESLEFT": "ノーズスタッド（左）"
"CUST_COLOR_CLOTHING_RED_6": "レッド6"
"CUST_WPN_UPGRADE_DESC_MELEE_BAT_2": "攻撃力が上がります"
"RIM_195": "AF1 MONOBLACK CX 504"
"CUST_VARIANT_ULTOR_W_TIE": "アルターネクタイ"
"PLAYER_MORPH_CHEEK_FATNESS_TEXT": "頬の肉づき"
"PLAYER_CREATION_BASIC": "基本"
"CUST_COMP_FACE_WART_3": "イボ3"
"VEHICLE_COLOR_GALACTIC_DOVE_GRAY": "スペース・グレイ"
"COMPONENT_EXTRA_LOW_PROFILE": "超薄型"
"player_lips": "リップ"
"CUST_ITEM_FEMALE_LP_EARRINGS_5": "プライベートアイイヤリング"
"PLAYER_MORPH_EAR_SPACING_TEXT": "耳の間隔"
"LINEUP_WARNING_BODY": "ラインアップに戻ると、現在の設定が破棄されます。\nよろしいですか？"
"CUST_COLOR_CLOTHING_GREENS_4": "グリーン4"
"LOGO_UNIVERSITY_3": "STILWATER U 3"
"CUST_ITEM_CM_IMPL_UBDY_M_JSWEATERTN": "キャットウォークジャケット"
"CUST_ITEM_CF_IMPO_UBDY_F_COMBO2A": "アーバンサファリローカット"
"CUST_ITEM_GASMASK": "ガスマスク"
"CUST_ITEM_CF_LPE_LBDY_F_MPANTS": "バトルパンツ"
"CUST_SKIN_BLUE_4": "ライトブルー"
"PLAYER_MORPH_DOUBLE_CHIN_ELEVATION_TEXT": "二重顎の高さ"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_8": "バイオレットブルー8"
"LOGO_NEVERLAND": "NEVER LAND"
"FEMALE_ATHLETIC": "女性 アスリート"
"CUST_ITEM_CF_DREADSINPIGTAILS": "ドレッドツインテール"
"CUST_ITEM_CM_PSG_HAT_M_BUCKETHAT": "ズィーモスハット"
"CUST_ITEM_SQUARE_BELT_1": "ヘビーウェイトタイツ"
"CUST_MAX_COMPOSITE_WARNING": "これ以上は選択できません"
"PLAYER_MORPH_UPPER_LIP_SIDES_ELEVATION_TEXT": "上唇外側の高さ"
"SLOT_BED_OPTIONS": "荷台改造"
"CUST_ITEM_CF_IMPO_UBDY_F_SHIRT2B": "アーバンサファリシャツ"
"CUST_ITEM_CM_HAIR_FLATTOP": "フラットトップ"
"PLAYER_MORPH_DOUBLE_CHIN_WIDTH_TEXT": "二重顎の幅"
"PLAYER_MORPH_BRIDGE_ELEVATION_TEXT": "鼻梁の高さ"
