"HASH_B9F9F000": "Maybe later, alright?"
"HASH_D4C71CE3": "I found a recharge station nearby. Let's go!"
"HASH_05A1A8E3": "No, hon."
"HASH_EBF1B8E3": "Never stop."
"HASH_793C74E4": "Power armor. Yes, I know."
"HASH_45AF1CE4": "Ahhhh."
"HASH_9FE188E4": "Now to get this fucking shield down."
"HASH_1D62ACE4": "Where is this fucking platform..."
"HASH_AC6964E4": "KINZIE.  "
"HASH_EA6864E4": "Is this a spaceship? What the fuck?"
"HASH_3CE470E4": "Not yet, Kinzie."
"HASH_BB3308E4": "Super powers, huh? I used to dream about being a hero, you know."
"HASH_B03A48E4": "That's what you're taking from this? Your starring role?"
"HASH_F8F2D4E4": "Don't let them take the C.I.D.!"
"HASH_2104D0E4": "Matt, I just had a bright idea..."
"HASH_80B1E4E4": "This is from NyteBlayde, ain't it?  Some of that fanfiction crap?"
"HASH_499FD8E4": "Hello, gentlemen.  I believe you are looking for me?"
"HASH_BA71F0E4": "What?  Why not just an entire fuckin' island then?"
"HASH_2F20C8E5": "Kinzie gave me a body in the real world.  I feel I owe it to her to want her rescued.  Please see that you get her back safely.  Then my obligation to her will be complete."
"HASH_F1ED5CE5": "Kinzie, I could use some good news."
"HASH_80C564E5": "We are nearing the final power cell."
"HASH_EA545CE5": "Is that all?"
"HASH_FC60E4E5": "You with me?"
"HASH_6EDF38E5": "Hey, I've gotten us this far, haven't I?"
"HASH_4F3808E5": "Cyrus has seriously lost it."
"HASH_7C25A4E5": "I hope you never had kids otherwise it'll be \\"hey George, go play in traffic with your friends.\\""
"HASH_9F8918E5": "But then I realized Asha would never be able to do this without some help."
"HASH_70DAD4E5": "God, you and Kinzie both with your technobabble..."
"HASH_2BF7D4E5": "Yeah, they do look sharper, but this is still the same old shit-hole."
"HASH_6E1DBCE5": "With what?"
"HASH_45788CE5": "I need you to throw me into the air."
"HASH_9EDF5CE5": "Ah shit."
"HASH_3FE7A8E6": "Looks like he's heading to--"
"HASH_B8C944E6": "So can we rename it funkytown?"
"HASH_2A4BA0E6": "So what do my two biggest brains recommend?"
"HASH_0C10DCE6": "Oh you don't like that, do you?"
"HASH_DACAC8E6": "And to do that, we need to kill your little friend."
"HASH_4031F0E6": "He has to be in there, Kinzie..."
"HASH_122614E6": "Is this a bloody starship?"
"HASH_88EEA8E6": "Got it.  You should start seeing..."
"HASH_3BB124E6": "Let's do this..."
"HASH_3C6E94E6": "I'm..."
"HASH_9E1780E6": "This is gonna suck..."
"HASH_D85C70E6": "You can't get through its shields without using your powers."
"HASH_3EF64CE6": "Are you kidding me?  Shaundi, this means first I get to blow up a lot of shit, then we get to take the WHOLE TANK!"
"HASH_FBB5B0E6": "Power up my dancing?  Ben, I don't need any boost to that, baby.  Dancing... kinda my life.  Well, it would be if I had more time for it.  I'm a fucking natural."
"HASH_6D30C4E6": "This is for Lady Liberty!"
"HASH_D1ACB4E6": "Pick yourself up and keep going."
"HASH_0E5208E6": "Keith! Keith, stop!"
"HASH_921DF0E6": "I was kidding!"
"HASH_EF1318E6": "Don't you blow up on me..."
"HASH_7A487CE6": "Attacked en route to the main villain. Nicely played, Matt. Good escalation of conflict."
"HASH_C601B8E6": "I'm here! Get to me!"
"HASH_F45988E6": "Kinzie, success!"
"HASH_92EBC4E7": "Jesus, as if seeing Veteran Child wasn't enough..."
"HASH_7507E8E7": "So is there a fusebox or something around?"
"HASH_992A60E7": "Heh. Asha seems to have quite the competitive streak. Or is she passive-aggressive towards everyone?"
"HASH_E0E998E7": "How's the key--"
"HASH_0A8E68E7": "So this ship isn't gonna blow up then?"
"HASH_4C34B0E7": "Hold on. We're coming to get you."
"HASH_8113A8E7": "Be careful not to damage all the C.I.D.s. I don't know when or if we'll get another chance to get one of these."
"HASH_62C248E7": "I'd like to remind all passengers to remain seated and enjoy the flight."
"HASH_EF5D68E7": "Not really."
"HASH_6423ACE7": "So, like, is there a way to get this AI a body in the real world too?"
"HASH_B68C9CE7": "They're closing the doors, hon."
"HASH_AA3D78E7": "Flank them!"
"HASH_321F2CE7": "Make a break for it, Matt!"
"HASH_E454DCE7": "I swear to shit you better be on your way, Kinzie."
"HASH_D69FF8E7": "Don't bother looking -- he ain't worth it.  Now let's hit the road."
"HASH_61DE1CE7": "Good, one less thing to worry about."
"HASH_1C3294E7": "Those assholes set up another roadblock."
"HASH_8B67E4E7": "Matt, you were saying?"
"HASH_0599D0E7": "You'll grow accustomed to her, Johnny."
"HASH_889C94E7": "So we're cool then?"
"HASH_C5DDCCE7": "You don't gotta go home, but you can't stay here!"
"HASH_C5A45CE7": "Hey man, does it matter?  Shoot them rockets at him already!"
"HASH_861FA0E7": "Kinzie? Kinzie, where are you?"
"HASH_ABB200E8": "This feels AMAZING!"
"HASH_973590E8": "Fucking 80s..."
"HASH_A45244E8": "DELETE"
"HASH_B2FADCE8": "Gotta watch that bonfire!"
"HASH_D4DFE0E8": "Just hang on, here comes the rescue vehicle now."
"HASH_FD31C0E8": "Let's do this."
"HASH_24CD90E8": "All soldiers on high alert. Abductees are notorious for ill-fated escape attempts. Permission is granted to shoot on sight."
"HASH_F36C1CE8": "I'll stack up your corpses and climb back down to Earth!"
"HASH_FB5A5CE8": "DELETE"
"HASH_14C674E8": "How did the Saints manage to survive so long?"
"HASH_FC891CE8": "As long as it has to! Just keep it safe."
"HASH_692E24E8": "Looks like that took care of him."
"HASH_7517ACE8": "He just blew up Tammy..."
"HASH_4B91CCE8": "So unlock them."
"HASH_F44B44E8": "Kinzie, what happened to Shaundi?"
"HASH_D16780E8": "It is close."
"HASH_F50D04E8": "NO, NO, NO, NO, NO, NO! DON'T PUT IN A SPACE!"
"HASH_013ED4E8": "Here we go."
"HASH_2EA6C4E9": "Shit, man! Left!"
"HASH_D70238E9": "Hell yeah."
"HASH_5256D0E9": "I don't know, seems about the same to me."
"HASH_E5A15CE9": "What an a--amicable fellow."
"HASH_06EE68E9": "Holy shit..."
"HASH_66005CE9": "I hope you're on your way, Kinzie."
"HASH_9DFCB4E9": "It'll be fine."
"HASH_895654E9": "Oh, I got something special planned for him."
"HASH_5F3208E9": "Well hello, Saints, glad you could make it."
"HASH_8C160CE9": "Let's end this once and for all.  Are you ready?"
"HASH_8D4CDCE9": "HUB?"
"HASH_154670E9": "So...about this tank..."
"HASH_977DD0E9": "Where the hell..."
"HASH_DAF2C8E9": "We got more zin!"
"HASH_F1A684E9": "Time to shine."
"HASH_DEA8D4EA": "More element types exist in this simulation for various powers.  If you are able to find or create the code that is."
"HASH_D20EA4EA": "I'm in the zone, Ben!"
"HASH_760074EA": "Asha, about Matt..."
"HASH_458F20EA": "Goddamn right I did."
"HASH_5786B4EA": "Not gonna lie. Still not sure how to take the fact evil me is your version of hell."
"HASH_408CB4EA": "This can't be good..."
"HASH_9FB7A4EA": "One more portal, right?"
"HASH_E245ACEA": "Here we go again..."
"HASH_715588EA": "Ugh, I feel like a toilet at a bus stop."
"HASH_DA53F8EA": "Fuck was that?"
"HASH_16B348EA": "Excellent. Please have Johnny meet me there."
"HASH_72C588EA": "Where's Kinzie, Keith?"
"HASH_DFADDCEA": "Matt, get back..."
"HASH_3B6EA4EA": "Mmm. Something sure smells tasty!"
"HASH_44FD70EA": "What the hell?!"
"HASH_E64100EA": "What IS happening?"
"HASH_5B8B98EA": "Looks like they're bringing out tanks."
"HASH_3572F0EB": "I'm here to help you, Keith!"
"HASH_021128EB": "Just... blow up already!"
"HASH_FFE37CEB": "Where to, Kinzie?"
"HASH_B68D58EB": "You like it. You know it."
"HASH_308F84EB": "No problem, playa."
"HASH_3E1DA0EB": "Shh! He'll hear you."
"HASH_21CBB4EB": "I thought this was a party. Let's dance!"
"HASH_AFA050EB": "This is all from your head, Asha. He's getting this from you."
"HASH_DFE078EB": "INTERNATIONAL CELEBRITIES, you mean."
"HASH_B86BACEB": "Godspeed, you two. We're taking the Key!"
"HASH_AA65B8EB": "Could this be a record breaking performance?"
"HASH_BD03A4EB": "Is this gonna take much longer, CID?"
"HASH_849698EB": "Really?"
"HASH_E79460EB": "Cut it out!"
"HASH_CA5354EB": "I didn't see Tanya in the crowd... her loss. "
"HASH_41C0ACEB": "Right.  Friendly Fire it is."
"HASH_7EDF04EB": "55 minutes?!  Honey, I need this done in 5!  "
"HASH_6EA3CCEB": "I got superpowers. Let's do this."
"HASH_3A0284EB": "King of the Hill! You need to take the Target Zone and maintain control until the timer fills up. Lose it and you start all over."
"HASH_7A5FD0EB": "That still leaves one percent..."
"HASH_DB5880EB": "Okay..now right!"
"HASH_04ED50EB": "UUUUPP!"
"HASH_5F8138EC": "The mech's original design was functional but a bit pedestrian. I wish I had the means to make it really special."
"HASH_E9289CEC": "Shaundis!"
"HASH_513268EC": "You've gotta be joking."
"HASH_6661CCEC": "Sorry, don't have time for that right now."
"HASH_C38D40EC": "Heh. We kill the arsehole."
"HASH_9D93CCEC": "Recognize that place?"
"HASH_240D2CEC": "*sigh*  Your funeral..."
"HASH_861680EC": "So the villain had a trap waiting for us?  Nicely played, Matt. Good reversal of expectation."
"HASH_120C44EC": "When you're not trying to shove it down my throat, yeah."
"HASH_BE7DACEC": "Asha, I respect you too much to bullshit y--"
"HASH_E9CD00EC": "Easy."
"HASH_F62784EC": "So, NyteBlayde, huh. What else can you tell me? Is there a girlfriend or something?"
"HASH_674C34EC": "Aw bless it..."
"HASH_B8229CEC": "Millions of people are disappearing around the globe. The death toll is incalculable. Response from world governments has been slow. How were we not ready?"
"HASH_3A8DD4EC": "So you've failed like a thousand times already. Finally you decide to bring in help. And you choose who? My lesser half? That sociopath has never cared about anyone else in their entire life."
"HASH_2134BCEC": "Right choice by our contestant."
"HASH_958BFCEC": "Oh come on!"
"HASH_C7A8C8ED": "So why aren't you doing this yourself?"
"HASH_2B86F8ED": "Okay then..."
"HASH_82B8A0ED": "And where, I wonder, did these murderbots come from?"
"HASH_A71DE4ED": "I don't get it..."
"HASH_B87908ED": "What the fuck?!"
"HASH_31B0B4ED": "You have your hands full, Kinzie. With all this cyber-stuff, I figure you could use the help."
"HASH_059B20ED": "I guess she's not used to having competition when it comes to being the team badass."
"HASH_61E19CED": "How close are we, Kinzie?"
"HASH_407E68ED": "Uh... don't I usually drive?"
"HASH_619040ED": "You're not really the glass half full type are you..."
"HASH_22A970ED": "What is Zinyak's fascination with Genki? Why don't the two of them just make a baby already."
"HASH_EEFA80ED": "I suppose you're right."
"HASH_A0C2E0ED": "Just don't get any blood on ya, she's got the Hep!"
"HASH_B5C3F4ED": "DELETE"
"HASH_BAF804ED": "Maybe I can find the programs for Tony and Tanya inside the simulation's code and force them to spawn."
"HASH_72B268ED": "Well... when you put it like that... Sorry?  I'll get on that taking over a neighborhood thing for you..."
"HASH_50A90CED": "JUST FIX IT."
"HASH_28F880ED": "I'm your number one fan!"
"HASH_34C590ED": "So you and old you had a talk then?"
"HASH_55DA20ED": "Reminds me of fireworks."
"HASH_E79794ED": "A secret room? What is that girl up to?"
"HASH_77FB98EE": "DELETE"
"HASH_B51F94EE": "How much longer, CID?"
"HASH_980A54EE": "Well there's another Kinzie, but I--wait!"
"HASH_C28E10EE": "Who's that?"
"HASH_BF5D48EE": "I have to make it back...if I don't I'll never be able to slap CID..."
"HASH_246764EE": "You'd best be on your way here, Kinzie."
"HASH_264C84EE": "Okay. We're here. Now what?"
"HASH_80B958EE": "Large red cylinder, huh..."
"HASH_DBDB00EE": "Shaundi, what about you?"
"HASH_B5ACE4EE": "You want to dance? DANCE WITH ME."
"HASH_0E6FE0EE": "Yeah, yeah, yeah, yeah, yeah. Hey Kinzie, this thing got a radio?"
"HASH_1FA3B0EE": "Oh hell no..."
"HASH_E19B28EE": "Way to balance inspirational speech and totally creepy cult leader, Asha."
"HASH_217918EE": "Bout fucking time."
"HASH_A781F0EE": "DELETE"
"HASH_DEB8F0EF": "TRY."
"HASH_EF04A4EF": "Right boss."
"HASH_1314BCEF": "Goddammit."
"HASH_B833D8EF": "Cheers."
"HASH_067A24EF": "Ready when you are."
"HASH_030CE0EF": "It certainly has its own...style."
"HASH_49F8F4EF": "Fucking ass--"
"HASH_3E74DCEF": "You don't want to know.  But we'll need more guns."
"HASH_8EFE20EF": "Keith, Keith, Keith... Fuck cancer."
"HASH_740CCCEF": "Where who's at?"
"HASH_24E558EF": "Hey, I've gotten us this far, haven't I?"
"HASH_F399C0EF": "Kinzie, you need to get here..."
"HASH_8A3A74EF": "Understood. How long does the upload require?"
"HASH_F641F0EF": "Don't push your luck."
"HASH_2EE008EF": "Boss, am I glad to see you!"
"HASH_244B28EF": "The reporter from GenkiBowl? You couldn't find someone more important for us to protect?"
"HASH_24AF98EF": "Woo!"
"HASH_CFFADCEF": "Allow me to retort."
"HASH_7747C4F0": "God this plan is brilliant!  Once I get all the parts, this'll be the key to stopping Zinyak.  Kinda why I call it the Key.  Well, that and it works like a computer lock-picking device.  And a virus delivery system.  Oh, and a massive power spike.  Okay, so \\"key\\" may be stretching it a little."
"HASH_45CBCCF0": "Oh, is something the matter?"
"HASH_203F14F0": "I think that means yes."
"HASH_2F2B9CF0": "Any idea what the loud speaker is saying?"
"HASH_3F3EF4F0": "A dozen?!"
"HASH_91F950F0": "I took out three of the relays. That's it, right?"
"HASH_81FA08F0": "What the hell is all this?"
"HASH_B9FB4CF0": "Kinzie, we have to go. What is wrong--"
"HASH_445764F0": "That's three. How's the download looking?"
"HASH_D3CBBCF0": "How's this race tied to the simulation?"
"HASH_D3C568F0": "Shaundi, stay with Kinzie. Gat, you're with me."
"HASH_1B8468F0": "Wow, she's really enjoying this."
"HASH_7E9E78F0": "Swords up, brothers! The Cyprian Order is on our tail!"
"HASH_DD568CF0": "This takes me back..."
"HASH_FBC35CF0": "So why're we at the Nuke Plant?"
"HASH_C527D4F1": "Just hoping you remember this next time I need your help on something."
"HASH_8D16F8F1": "You have fun with that. I'm taking the air duct."
"HASH_9B1F20F1": "A mistake like that would make anyone frustrated."
"HASH_85EF78F1": "Ha! You kidding? Where some see nothing, I see opportunity."
"HASH_0E1098F1": "We're staying, Kinzie."
"HASH_35B2B0F1": "Shit? What do you mean shit?"
"HASH_0628F8F1": "Aw, you're really missing out, hun."
"HASH_456CF4F1": "I don't think that was a reqest for one, Matt."
"HASH_C9CA1CF1": "Oh, Kinzie, I'll make you an optimist yet."
"HASH_D6D0D8F1": "Gosh, what a glorious day!"
"HASH_43E9A4F1": "That all you got!"
"HASH_FB68F4F1": "I understand, Kinzie. Look, everything's going to be fine."
"HASH_BDC7B8F1": "Try to melt my statue will you..."
"HASH_046C80F1": "Nope."
"HASH_CFDDBCF1": "Crikey!"
"HASH_A4E424F1": "I'm not leaving without you."
"HASH_93D9C4F1": "I couldn't save him, I don't deserve to live!"
"HASH_20C010F2": "Don't let him get away with this!"
"HASH_0E2424F2": "Ooh. Cyrus. Not your smartest move."
"HASH_4F1C14F2": "Holy shit!  Is that Paul?!"
"HASH_087598F2": "I'm gonna pretend that makes total sense."
"HASH_4E5FBCF2": "But of course."
"HASH_017C5CF2": "Does Kinzie really need to make all that racket all the time?  How's a person supposed to get any sleep on this boat?"
"HASH_25C86CF2": "I see them.  Don't think they're happy to see me though."
"HASH_4FAE34F2": "And why does Zinyak require trucks?"
"HASH_967448F2": "Honey, this is the first time I've seen you out for blood like this."
"HASH_27FA50F2": "Why are you worried about Veteran Child?"
"HASH_A16900F2": "Throw me whatever you got."
"HASH_5ACE28F2": "*BEEP* *BEEP* YOUR *BEEPING* *BEEEEEEEEEEP*"
"HASH_B635C8F2": "Precise is better. Let's get to the airlock."
"HASH_3C4FB0F2": "Back off, Veteran Child."
"HASH_508238F2": "That pleases me to hear.  Now the Zin should no longer be able to find me, but I still feel I am not done with this task.  Give me some time to determine the correct next step."
"HASH_46A660F2": "You mean boss."
"HASH_6166B0F2": "I can't wait to shatter these bastards."
"HASH_BC0B98F2": "I promise, my friend, I am coming for you."
"HASH_3D2DD0F2": "First I told the FBI, then I told the Saints, THEN I told the President and the entire Secret Service and still they wouldn't listen. Now here we are, abducted by aliens and trapped in technology far beyond what we had on Earth. You know, if I'd only got the budget for my planetary defense system we wouldn't be stuck up here dealing with the Zin. I mean, it would ONLY have cost 3.1 billion. Hey, I tried to warn the military, but they didn't want to listen to the Press Secretary."
"HASH_0B52A4F2": "Help me find a way to get other Shaundi to calm down a bit."
"HASH_1D4578F2": "I'm not the enemy, Keith...Zinyak is."
"HASH_BEF4C8F3": "Alright. Where did he go?"
"HASH_A94654F3": "You trying to cut in on my dance?"
"HASH_E6DE40F3": "Better this road than Kinzie if we bang up her key."
