"UNL_DESC_RESPECT_LUCHA_3": "За приобретение жилья \"Казино Раз-Два-Три\" количество любого зарабатываемого вами авторитета увеличивается на 15%%."
"UNL_DESC_HOMIE_ZGAT": "МОЗГИИИИИИ"
"TUT_TITLE_UPGRADE_STORE": "МАГАЗИН УЛУЧШЕНИЙ"
"TUT_ACT_INTRO_CYBER_BLAZING": "Пронеситесь по киберпространству, поражая [format][color:blue]цели Декеров[/format] и уклоняясь от [format][color:red]брандмауэров[/format], пока не истекло время."
"UNL_DESC_CASH_MULTIPLIER_4": "Весь доход увеличивается на 25%%."
"UNL_DESC_NOTORIETY_DECKERS_1": "Уровень дурной славы в отношениях с Декерами снижается быстрее."
"UNL_DESC_WEP_RC_VEHICLE_GUN": "Теперь вы можете взять средство дистанцинного управления гражданскиеми автомобилями \"RC-Повелитель\" на оружейном складе в вашем жилище."
"UNL_DOESNOTEXIST": "НЕДОСТУПНО"
"TUT_WHORED_D_CYPRIAN_ORDER": "РАСПУТНЫЙ УКАЗ"
"TUT_WHORED_GIMPS": "УРОДЫ"
"TUT_WHORED_PICKUPS_TITLE": "ГРАБЕЖИ"
"GARAGE_LICENSED_VEHICLES_ONLY": "ВЫ НЕ МОЖЕТЕ ХРАНИТЬ ЗАГРУЖАЕМЫЙ КОНТЕНТ, КОТОРЫЙ НЕ ПОКУПАЛИ."
"UNL_DESC_DLC_GAMEPLAY02_ALERT": "Вы получаете загружаемый контент с новыми навыками и наградами."
"UNL_DESC_UPGRADE_AMMO_SPECIAL_1": "Вы можете переносить на 25%% больше особых патронов."
"UNL_SAINTSHQ": "ЖИЛЬЕ - ПЕНТХАУС СВЯТЫХ"
"TUT_WHORED_D_IRONY": "ИРОНИЯ"
"TUT_WHORED_DRUNK": "КТО БОЛЬШЕ ВЫПЬЕТ"
"TUT_ACT_INTRO_HELI_ASSAULT": "Защитите своего информатора с вертолета."
"HUD_RIDE_TRAIN": "ВЕСТИ ПОЕЗД"
"SYSTEM_PAUSED": "ПАУЗА"
"UNL_DESC_AMMO_MSTAR_1": "Вы можете хранить на 10%% больше боеприпасов в арсенале."
"UNL_DESC_DLC_ASSET01_OUTFITS03": "Броня - откровенная, но защищающая."
"UNL_UNLIMITED_AMMO_PISTOL": "ПАТРОНЫ - ПИСТОЛЕТ 4"
"UNL_DESC_DAMAGE_VEHICLE_2": "Урон от столкновений с машинами снижается на 30%%."
"UNL_DESC_HOMIE_MAYOR_REYNOLDS": "Номер мэра Берта Рейнолдса есть в меню \"ТЕЛЕФОН\" вашего мобильника. Он поможет Святым в бою."
"TUT_WHORED_ROUND1": "ДОБРО ПОЖАЛОВАТЬ!"
"TUT_SECONDARY_FIRE": "{ATTACK_SECONDARY_IMG} ДОПОЛНИТЕЛЬНЫЙ РЕЖИМ\nУ этого оружия есть дополнительный режим стрельбы."
"TUT_PLAYER_CHOICE": "Вам нужно сделать выбор: оставить Башню Синдиката себе и заработать денег или уничтожить ее и заработать авторитет. \nПодумайте хорошо."
"TUT_TITLE_SATCHEL_CHARGES": "РАНЦЕВЫЙ ЗАРЯД"
"HUD_TRIGGER_DISABLED_SH": "ВЫ НЕ МОЖЕТЕ ЗАЙТИ СЮДА ВО ВРЕМЯ ЗАХВАТА КРЕПОСТИ"
"MISSION_CANCEL_TEXT": "Вы уверены, что хотите покинуть миссию?\nВесь прогресс с последней контрольной точки будет потерян."
"TUT_WHORED_A_COYOTE": "УРОДЕЦ"
"TUT_RC_GUN_UPGRADE": "RC-Повелитель был модернизирован. Теперь с ее помощью можно брать под контроль военные машины."
"TUT_TITLE_ACT_INTRO_INS_FRAUD": "СТРАХОВОЕ МОШЕННИЧЕСТВО"
"ACHIEVE_SR3_MURDERBRAWL_31": "СМЕРТЕЛЬНАЯ ДРАКА 31"
"UNL_DLC_ASSET01_OUTFITS04": "КОСТЮМ - КОСМИЧЕСКАЯ ВОИТЕЛЬНИЦА"
"UNL_CRIB_POWDER": "ЖИЛЬЕ - \"ПОРОХ\""
"TUT_NP_MOTORCYCLE_CONTROLS": "{ACCELERATE_IMG} - УСКОРЕНИЕ \n{BRAKE_REVERSE_IMG} - ТОРМОЗ/ЗАДНИЙ ХОД\nИспользуйте {ANALOG_LS_IMG} чтобы перемещать вес и делать \"вилли\" или \"стоппи\"."
"TUT_ANNIHILATOR": "Захват цели можно произвести с помощью приближения {SHOULDER_CAMERA_IMG}. \nУправление запущенной ракетой производится с помощью сетки прицела."
"HOMIES_OLEG": "ОЛЕГ"
"UNL_DESC_DLC_ASSET04_VEHICLES": "Военные машины святых."
"UNL_DESC_DLC_PREORDER03_ALERT": "В вашем гардеробе и арсенале доступен загружаемый контент."
"UNL_UPGRADE_AMMO_EXPLOSIVE_3": "ВЗРЫВЧАТКА 3"
"UNL_DESC_CLOTHING_SPACE_COSTUME": "Космический скафандр был добавлен в ваш гардероб."
"UNL_HOMIE_HEALTH_2": "БАНДА - УВЕЛИЧЕНИЕ ЗДОРОВЬЯ 2"
"UNL_DAMAGE_EXPLOSIVE_4": "УРОН ОТ ВЗРЫВЧАТКИ 4"
"TUT_WHORED_GRENADIERS": "ГРЕНАДЕРЫ"
"TUT_WHORED_STARPOWER": "ОТМЕЧЕН ЗВЕЗДАМИ"
"UNL_VEHICLE_WATERCRAFT": "МАШИНА - СУДНО"
"UNL_VEHICLE_HIND": "МАШИНА - ТЯЖЕЛЫЙ ВЕРТОЛЕТ"
"UNL_CLOTHING_POLICE": "ПРЕДМЕТ - ПОЛИЦЕЙСКАЯ ФОРМА"
"UNL_DESC_AUTO_COMPLETE_CTO": "Город автоматически берется под контроль."
"UNL_DESC_VEHICLES_HAVE_NITROUS": "В каждой вашей машине есть привод."
"UNL_DESC_HEALTH_REGEN_2": "Здоровье восстанавливается быстрее."
"UNL_DESC_WEEKLY_PAYMENTS_4": "Почасовой доход в размере $2500."
"TUT_ACT_INS_FRAUD_ANDRENALINE": "Заполнив адреналинометер, войдите в адреналиновый режим, чтобы выполнить цепь сумасшедших ударов!"
"TUT_COMBAT_MELEE_BASH": "{CBA_OFC_HS_EXECUTE_IMG} БЫСТРЫЙ УДАР"
"WPNCAT_RIFLE": "ВИНТОВКА"
"UNL_DLC_GAMEPLAY03_ALERT03": "НАГРАДЫ - ЛУЧАДОРЫ"
"UNL_INSTANT_RELOAD_PISTOL": "БЫСТРАЯ ПЕРЕЗАРЯДКА - ПИСТОЛЕТЫ"
"TUT_WHORED_TAUNT": "ГЛУБОКОЕ РАЗОЧАРОВАНИЕ"
"TEMP_LUCHAGRENADE": "GL G20"
"DISTRICT_NORTH_EAST": "НЬЮ-КОЛВИН"
"UNL_DESC_NG_CUSTOMIZATION": "Предметы модификации гвардии Стилпорта"
"UNL_UPGRADE_AMMO_RIFLE_2": "ПАТРОНЫ - ВИНТОВКА 2"
"UNL_DAMAGE_BULLET_1": "УРОН ОТ ПУЛЬ"
"TUT_TITLE_NAG_WEAPON_UPGRADES": "УЛУЧШЕНИЕ ОРУЖИЯ"
"TUT_NOTORIETY_DECREASES": "От дурной славы можно избавиться, спрятавшись в любом из ваших зданий: {MAP_IMG_CRIB}, {MAP_IMG_CLOTHING} и т.д."
"WPN_CRICKETBAT": "КРИКЕТНАЯ БИТА"
"SATELLITE_GUIDED_MISSILE": "САМОНАВОДЯЩАЯСЯ РАКЕТА"
"UNL_CASH_LIMIT_DECKER_3": "ЛИМИТ ТРАНСФЕРА"
"UNL_DLC_PREORDER01_ALERT": "НАБОР \"ВЕСЕЛКА!\""
"TUT_WHORED_Z_SUPER SIZED": "СУПЕР-РАЗМЕР"
"TUT_JUMP_CLIMB_SR3": "{JUMP_CLIMB_IMG} ПРЫГАТЬ/КАРАБКАТЬСЯ\n {SPRINT_IMG} + {JUMP_CLIMB_IMG} БЫСТРОЕ ПАДЕНИЕ\nПрыжки, подъемы на стены и падения позволяют вам избегать опасных ситуаций."
"TUT_DLC_MANCANNON": "{ATTACK_PRIMARY_IMG} СТРЕЛЬБА ЛЮДЬМИ\nСобирайте людей, сбивая их на машине, чтобы стрелять из пушки."
"TUT_TITLE_COMBAT_FINEAIM": "ПРИБЛИЖЕНИЕ КАМЕРЫ"
"CS_TITLE_STILWATER_BRIDGE": "СТИЛУОТЕР - МОСТ HUGHES"
"HASH_FB317EE1": "{ACTION_IMG} БРОСИТЬ ЩИТ"
"HOMIES_WEAPON_DESC": "Пусть браток доставит вам какое-нибудь оружие."
"HOMIES_GIANT_BALL": "ГИГАНТСКИЙ ШАР"
"UNL_DESC_RESPECT_EURO_2": "За приобретение жилья \"Порох\" количество любого зарабатываемого вами авторитета увеличивается на 10%%."
"UNL_DESC_UPGRADE_AMMO_PISTOL_1": "Можно переносить на 25%% больше патронов для пистолета."
"UNL_DAMAGE_VEHICLE_3": "УРОН ОТ МАШИН 3"
"TUT_WHORED_Z_FOOD_TRUCK": "КОШМАР ГРУЗОВИКА С ЕДОЙ"
"TUT_WHORED_WEENIEROAST": "ЖАРКА МЛАДЕНЦЕВ"
"TUT_TITLE_HEALTH_SPRINT_METER": "ШКАЛА ЗДОРОВЬЯ /РЫВКА"
"HOMIES_VIOLA": "ВИОЛА"
"UNL_RESPECT_DECKER_1": "БОНУС АВТОРИТЕТА"
"UNL_DESC_CASH_LIMIT_EURO_1": "За приобретение жилья \"Порох\" ваш лимит перевода денег увеличивается."
"UNL_AMMO_MSTAR_1": "СКЛАД ОРУЖИЯ - БОЕПРИПАСЫ"
"UNL_AMMO_DECKER_1": "СКЛАД ОРУЖИЯ - БОЕПРИПАСЫ"
"UNL_DESC_UPGRADE_AMMO_EXPLOSIVE_3": "Вы можете переносить на 75%% больше взрывчатки."
"UNL_DESC_CASH_MULTIPLIER_2": "Количество всех получаемых вами денег увеличивается на 5%%."
"TUT_TITLE_UNLOCKABLES": "ОТКРЫТИЯ/НАГРАДЫ"
"TUT_TITLE_SMOKED": "УБИТ!"
"OBJECT_PARTNER_COLLECTED": "%ls НАШЕЛ ПРЕДМЕТ, КОТОРЫЙ ВЫ ПОТЕРЯЛИ!"
"HASH_84A3D8E3": "ГРАФИЧЕСКИЙ РЕЖИМ"
"TUT_TITLE_DRIVING_STUNTS": "ТРЮКИ ВОЖДЕНИЯ"
"HOOD_NE_04": "ЭСПИНА"
"UNL_DESC_CRIB_ZIMOS": "Теперь это место является жильем Святых. Здесь вы можете получить доступ к вашему оружию и одежде."
"UNL_DESC_CRIB_ANGELS": "Теперь это место является жильем Святых. Здесь вы можете получить доступ к вашему оружию и одежде."
"TUT_WHORED_DILDOBAT": "ДИЛДОБОЙ"
"TUT_COLLECTION": "По всему Стилпорту разбросаны пакеты с наркотиками, пачки денег и надувные куклы. Когда вы находите их, они появляются на карте.\nПопробуйте найти их все!"
"TUT_HITMAN_NEW": "{MAP_MENU_IMG} вСВЯТЫХ\nТеперь в \"вСвятых\" появились цели для уничтожения. Выслеживайте их и убивайте, чтобы быстро заработать денег."
"TUT_M16_AVATAR_ATTACKS": "{AVATAR_SHOCKWAVE_IMG} УДАРНАЯ ВОЛНА\n{AVATAR_SWORD_SWEEP_IMG} ВЗМАХ МЕЧОМ\n{AVATAR_DASH_IMG} РЫВОК\n{AVATAR_FLAME_BREATH_IMG} ПЛАМЕННОЕ ДЫХАНИЕ"
"HUD_PRESS_BACK_CANCEL_STRONGHOLD": "УДЕРЖИВАЙТЕ %ls - ПОКИНУТЬ ЗАХВАТ КРЕПОСТИ"
"HUD_BLANK": ""
"HOMIES_GANG_NOTORIETY_DESC": "Уберите дурную славу среди банд."
"UNL_DESC_FOLLOWER1": "Завербуйте одного из Святых в качестве последователя."
"ENTER_VEHICLE_DRIVER_SEAT_MESSAGE": "НАЖМИТЕ %ls, ЧТОБЫ СЕСТЬ НА МЕСТО ВОДИТЕЛЯ В МАШИНУ."
"UNL_DESC_VEHICLE_HIND": "Теперь в гараже вашего жилища есть этот вертолет."
"UNL_UNLIMITED_AMMO_GRENADE": "ГРАНАТЫ 4"
"UNL_DAMAGE_FALL_4": "УРОН ОТ ПАДЕНИЯ 4"
"TUT_TITLE_VEHICLE_TURRET": "ОРУДИЙНЫЕ БАШНИ"
"HUD_CANT_CUST_PARTNERS_CAR": "Вы не можете модифицировать машину партнера"
"UNL_SNATCH": "ПИЛОТАЖ"
"UNL_DESC_GANG_NPC_DECKER": "Теперь в вашей банде могут состоять Декеры."
"RIFLE_STAG": "ЛАЗЕРНАЯ ВИНТОКА \"ГАДЮКА\" "
"UNL_DESC_DLC_ASSET01_ALERT": "В вашем гардеробе доступен загружаемый контент."
"UNL_DESC_GANG_WEAPONS_SMG": "Члены вашей банды могут использовать автоматы."
"UNL_DESC_HEALTH_REGEN_4": "Здоровье восстанавливается исключительно быстро"
"UNL_DESC_WEEKLY_PAYMENTS_2": "Почасовые выплаты в размере 1000 долларов."
"TUT_TITLE_STORE_INTRO_JEWELRY": "ЮВЕЛИРНЫЕ МАГАЗИНЫ"
"TUT_TITLE_ACT_INTRO_SNATCH": "ПИЛОТАЖ"
"WPN_VTOL01": "ЛАЗЕРНЫЙ ЛУЧ"
"GRENADE_ELECTRIC": "ЭЛЕКТРОГРАНАТЫ"
"CUTSCENE_HOST_SKIPPING": "ВЫ ПРОГОЛОСОВАЛИ ЗА ПРОПУСК"
"UNL_DESC_INCOME_MSTAR_1": "Вы получаете бонус 5%% к почасовому доходу с района Нью-Колвин."
"UNL_HOMIE_HP_INCREASE_1": "БРАТОК - УВЕЛИЧЕНИЕ ЗДОРОВЬЯ 1"
"UNL_DAMAGE_EXPLOSIVE_2": "УРОН ОТ ВЗРЫВЧАТКИ 2"
"TUT_WHORED_A_FISTING": "ФИСТИНГ"
"TUT_DIVERSION_HUD": "Звезды за хулиганство отображаются здесь, когда вы делаете что-то необычное, добавляющее авторитет. Чем больше звезд - тем больше авторитет."
"UNL_NOTORIETY_LUCHA_1": "ДУРНАЯ СЛАВА - ЛУЧАДОРЫ"
"UNL_DESC_HOMIE_ANGEL": "Номер Анхеля есть в меню \"ТЕЛЕФОН\" вашего мобильника. Он поможет Святым в бою."
"TUT_TITLE_NP_BOAT_CONTROLS": "УПРАВЛЕНИЕ КАТЕРОМ"
"decker_sword": "НОКТЮРН"
"HOMIES_ANGEL_DESC": "Возьмите в свою команду Анхеля."
"ACHIEVE_SR3_COWBOY_UP": "КОВБОИ ВПЕРЕД"
"RESPECT_WIDGET_LABEL": "АВТОРИТЕТ"
"STRONGHOLD_COOP_START_MSG": "Начать совместный захват крепости?"
"HASH_E703EAEC": "МЕДЛЕННОЕ СОЕДИНЕНИЕ"
"UNL_DESC_MUSCLES_3": "В ближнем бою удары отбрасывают противников заметно дальше."
"UNL_DESC_UPGRADE_AMMO_SHOTGUN_1": "Можно переносить на 25%% больше патронов для дробовика."
"UNL_DESC_NOTORIETY_COPS_3": "Уровень дурной славы в отношениях с полицией снижается значительно быстрее."
"UNL_DESC_DAMAGE_VEHICLE_4": "При столкновениях с машинами вы вообще не получаете урона."
"UNL_DESC_DOESNOTEXIST": "Это улучшение больше не доступно."
"TUT_ESCORT_REMOTE": "Нажмите {ANALOG_RS_IMG}, чтобы найти особую цель. \nЖмите {ANALOG_RS_IMG}, а затем {ANALOG_LS_IMG}, одновременно со стрелками, чтобы попасть в цель."
"HUD_ZOOM_IN_AND_OUT": "%ls И %ls ДЛЯ ПРИБЛИЖЕНИЯ И ОТДАЛЕНИЯ."
"UNL_DESC_VEHICLE_JET_BIKE": "Теперь в вашем гараже есть прототип реактивного байка."
"UNL_DESC_STAG_CUSTOMIZATION": "Предметы модификации КАБАНа"
"UNL_HOMIE_REPAIR": "БРАТОК - РЕМОНТ"
"HOMIES_EMERGENCY": "СКОРАЯ ПОМОЩЬ"
"UNL_INCOME_EURO_2": "ПОЧАСОВОЙ ДОХОД С РАЙОНА"
"UNL_DLC_ASSET01_OUTFITS02": "КОСТЮМ - ВОИН КАБУКИ"
"UNL_DBNO_EXTRA_TIME_3": "БАНДА - ТАЙМЕР ОЖИВЛЕНИЯ 3"
"UNL_DESC_DAMAGE_EXPLOSIVE_1": "Урон от взрывов снижается на 5%%. "
"UNL_DESC_HOMIE_HELI": "В вашем телефоне есть номер братка на вертолете. Он поможет Святым в бою."
"UNL_CRIB_BDSM": "ЖИЛЬЕ - СТОП-СЛОВО"
"TUT_WHORED_THE_END": "КОНЕЦ"
"HUD_USE_HAND_BRAKE_MESSAGE": "УДЕРЖИВАЙТЕ {HANDBRAKE_IMG} ДЛЯ РУЧНОГО ТОРМОЗА."
"UNL_DESC_AMMO_EURO_1": "Вы можете хранить на 10%% больше боеприпасов в арсенале."
"UNL_DLC_ASSET02_OUTFITS02": "КОСТЮМ - ПРИКИД АЛТАРНИКА"
"UNL_DESC_DLC_PREORDER02_WEAPONS": "Каждое убийство из этого дробовика прибавит вам авторитета."
"UNL_INSTANT_RELOAD_SHOTGUN": "БЫСТРАЯ ПЕРЕЗАРЯДКА - ДРОБОВИКИ"
"UNL_WEP_PREDATOR_DRONE": "ОРУЖИЕ - БЕСПИЛОТНИК \"ЖНЕЦ\""
"TUT_WHORED_OLDSCHOOL": "ОЛДСКУЛ"
"TUT_TITLE_DIV_INTRO_HOSTAGE": "ЗАЛОЖНИК"
"HOOD_NW_04": "БРИКСТОН"
"UNL_UPGRADE_AMMO_EXPLOSIVE_1": "ВЗРЫВЧАТКА"
"PLAYER_CHOICE_M21_OPTION2_TITLE": "[format][color:green]ПОЩАДИТЬ КИЛЛБЕЙНА[/format]"
"TUT_TITLE_DLC_MANCANNON": "ДЖЕНКИ МОБАЙЛ"
"HOMIES_KILLED": "%ls убит!"
"HOMIES_HELICOPTER_DESC": "Пусть вам доставят вертолет."
"HOMIES_TANK": "ТАНК"
"HOMIES_JOSH": "ДЖОШ"
"WPN_CHAINSAW_DESCRIPT": "Этой штукой можно разрезать врагов на мелкие кусочки."
"HOMIES_FALLEN": "%s погибает!"
"HOMIES_WEAPON_HOMIE": "БРАТОК - ОРУЖИЕ"
"UNL_DLC_GAMEPLAY03_ALERT01": "НАГРАДЫ - МОРГЕНШТЕРН"
"TUT_WHORED_DRUNKEN_BOXING": "ПЬЯНЫЙ БОКС"
"TUT_WHORED_SONICBOOMSTICK": "ЗВУКОВАЯ ВОЛНА"
"HUD_BORDER_TURNAROUND": "ТЫ НУЖЕН СВЯТЫМ В СТИЛПОРТЕ"
"STOPPING_BLOCKED_PATH": "Что-то мешает вам пройти. Освободите путь, прежде чем идти в магазин."
"UNL_DESC_HOMIE_HP_INCREASE_2": "Братки получают средний прирост здоровья."
"UNL_DAMAGE_BULLET_3": "УРОН ОТ ПУЛЬ 3"
"TUT_WHORED_COMM_SERVICE": "ОБЩЕСТВЕННЫЕ РАБОТЫ"
"TUT_SNIPER_UPGRADE": "{ACTION_IMG} РЕЖИМ ПРИБЛИЖЕНИЯ"
"TUT_TITLE_NOTORIETY_DECREASE_STORE": "СНИЖЕНИЕ ДУРНОЙ СЛАВЫ"
"UNL_DESC_DLC_ASSET02_OUTFITS01": "Официальный костюм Кровавой Монашки из шоу Ночного Клинка."
"UNL_DESC_UPGRADE_AMMO_SPECIAL_3": "Вы можете переносить на 75%% больше особых патронов."
"UNL_DESC_VEHICLE_DELIVERY": "Ваши машины доставляются непосредственно вам."
"TUT_WHORED_D_COUNTING_CALS": "ПОДСЧЕТ КАЛОРИЙ"
"TUT_TITLE_HUMAN_SHIELD_GENERAL": "ЧЕЛОВЕЧЕСКИЕ ЩИТЫ"
"USE_TRIGGER_HELI": "ИДИТЕ НА ВЕРТОЛЕТНУЮ ПЛОЩАДКУ"
"HOMIES_ZIMOS_DESC": "Отожгите вместе с Займосом."
"UNL_DESC_PROFGENKI": "Вы открыли новые локации для задания ПРОФЕССОР ДЖЕНКИ. \nПоищите их на карте."
"UNL_DESC_GANG_VEHICLES_LUCHA": "Ваша банда теперь может использовать машины Лучадоров."
"UNL_DESC_DLC_ASSET01_OUTFITS01": "Полная броня в средневековом стиле."
"UNL_DESC_DLC_PREORDER01_ALERT": "В вашем гардеробе, арсенале и гараже доступен загружаемый контент."
"TUT_WHORED_D_ROMEROS_REVENGE": "МЕСТЬ РОМЕРО"
"TUT_WHORED_BAT": "БИТА ПРОТИВ ШЛЮХ"
"TUT_CAR_SHOOTING": "{FIREARM_IMG} ВЫСТРЕЛ ИЗ ОСНОВНОГО ОРУЖИЯ\n{ATTACK_SECONDARY_IMG} БРОСОК ГРАНАТЫ"
"TUT_TITLE_BUSTED": "ПОЙМАН!"
"WPN_SMGSTORM_DESCRIPT": "Профессиональный автомат, отличающийся высокой скорострельностью."
"HUD_RESPECT_RANK_010": "СУТЕНЕР"
"HOOD_GAINED": "РАЙОН ПЕРЕХВАЧЕН"
"UNL_DESC_DTL_STRONGHOLD_02_CUSTOMIZATION": "Эта крепость ваша!\nВы можете изменять и модернизировать ее в жилище \"Стоп-слово\", чтобы расширять влияние Святых и получить огромные бонусы модернизации."
"UNL_DESC_RESPECT_DECKER_2": "За приобретение жилья \"АЭС\" количество любого зарабатываемого вами авторитета увеличивается на 10%%."
"UNL_DAMAGE_EXPLOSIVE_NO_RAGDOLL": "ВЗРЫВЫ - НЕ МАНЕКЕН"
"TUT_TITLE_FLASHPOINT": "ОПЕРАЦИИ БАНД"
"CS_TITLE_STAG_AIRCRAFT_CARRIER": "АВИАНОСЕЦ ОТРЯДА КАБАН: ФЕРМОПИЛЫ"
"ACHIEVE_SR3_THE_WELCOME_WAGON": "ПРИВЕТСТВЕННЫЙ ВАГОН"
"UNL_DESC_DLC_MEDIA01_ALERT": "В вашем гардеробе, арсенале и гараже доступен загружаемый контент."
"UNL_INSTANT_RELOAD_SMG": "БЫСТРАЯ ПЕРЕЗАРЯДКА - АВТОМАТЫ"
"TUT_CROUCH": "НАЖМИТЕ {CROUCH_IMG}, ЧТОБЫ ПРИСЕСТЬ\nПрисев, стреляете более точно."
"TUT_JUMP_CLIMB": "{JUMP_CLIMB_IMG} ПРЫГАТЬ/КАРАБКАТЬСЯ \n {SPRINT_IMG} + {JUMP_CLIMB_IMG} БЫСТРОЕ ПАДЕНИЕ \nПрыжки, подъемы на стены и падения позволяют вам избегать опасных ситуаций."
"HOMIES_MAYOR_NOTORIETY_WIPE_DESC": "Попросите об одолжении мэра Рейнолдса и уберите дурную славу!"
"UNL_DESC_GANG_NPC_NG": "Теперь в вашей банде могут быть Гвардейцы."
"TUT_WHORED_MINICANS": "МИНИ-БАНКИ"
"TUT_DIV_INTRO_HOLDUP": "Продолжайте прицеливаться в продавца, чтобы ограбить его магазин."
"CS_TITLE_S_1ST_NAT": "ПЕРВЫЙ НАЦИОНАЛЬНЫЙ БАНК СТИЛУОТЕРА"
"HUD_PRESS_DPADUP_PARTY_DISMISS": "ЕЩЕ РАЗ, ЧТОБЫ РАСПУСТИТЬ ОТРЯД."
"UNL_DESC_UPGRADE_AMMO_SMG_1": "Можно переносить на 25%% больше патронов для автомата."
"UNL_UNLIMITED_SPRINT": "УЛУЧШЕННЫЙ БЕГ 5"
"TUT_SECRET_LOCATIONS": "Вы нашли секретную локацию. Таких локаций довольно много разбросано по всему Стилпорту, попробуйте найти их все!"
"TUT_TITLE_DIVERSION_HUD": "ДИСПЛЕЙ ХУЛИГАНСТВ"
"CS_TITLE_SKIES_OVER_STEELPORT": "НЕБЕСА НАД СТИЛПОРТОМ"
"PLAYER_REVIVE_FOLLOWER": "ОЖИВИТЕ [format][color:purple]БРАТКА[/format]."
"UNL_DESC_DLC_CUST01_ALERT": "В вашем гардеробе, арсенале и/или гараже доступно новое содержимое."
"UNL_UPGRADE_AMMO_PISTOL_2": "ПАТРОНЫ - ПИСТОЛЕТ 2"
"UNL_DESC_SPRINT_1": "Бег может длиться на 25%% дольше."
"TUT_WHORED_WEAKSAUCE": "СЛАБАК"
"TUT_ACT_INS_FRAUD_FIRST_HIT": "{PRATFALL_ALT_IMG} / {PRATFALL_IMG} ТРЯПИЧНАЯ КУКЛА \n{ANALOG_LS_IMG} ТЕЛО В ВОЗДУХЕ"
"ACHIEVE_SR3_CREW_OF_TWO": "КОМАНДА ИЗ ДВУХ"
"SNIPER_AMMO": "ПАТРОНЫ К СНАЙПЕРСКОЙ ВИНТОВКЕ"
"HUD_ATTACK_MATT": "АТАКОВАТЬ МЭТТА"
"UNL_DESC_GANG_VEHICLES_MSTAR": "Ваша банда теперь может использовать машины Моргенштернов."
"UNL_DESC_AMMO_LUCHA_2": "Вы можете хранить на 10%% больше боеприпасов в арсенале."
"UNL_DESC_DLC_ASSET05_ALERT": "В вашем гардеробе доступен загружаемый контент."
"UNL_DESC_NOTORIETY_DECKERS_3": "Уровень дурной славы в отношениях с Декерами снижается быстрее."
"UNL_HOMIE_OLEG": "БРАТОК - ОЛЕГ"
"TUT_WHORED_Z_GIRLS_NIGHT": "ДЕВИЧЬЯ НОЧЬ"
"ACHIEVE_SR3_HACK_THE_PLANET": "ВЗЛОМАЙ ПЛАНЕТУ"
"STRONG_CANCEL_TEXT": "Вы уверены, что хотите покинуть захват крепости?\nВесь прогресс с последней контрольной точки будет потерян."
"HUD_SECONDS": "СЕК."
"HUD_RESTART_TEXT": "НАЖМИТЕ %s, ЧТОБЫ НАЧАТЬ ЗАНОВО"
"UNL_DLC_PREORDER02_OUTFITS": "КОСТЮМ - \"СТИЛЬ ЗЕД\""
"UNL_DESC_CLOTHING_POLICE": "Теперь вы можете приобрести полицейскую форму."
"UNL_DESC_DAMAGE_FIRE_1": "Урон от огня снижается на 10%%."
"TUT_WHORED_Z_ROLL_OVER": "ПЕРЕВОРОТ"
"TUT_TITLE_ESCORT_REMOTE": "МИНИ-ИГРА"
"TUT_CROUCH_SR3": "НАЖМИТЕ {CROUCH_IMG}, ЧТОБЫ ПРИСЕСТЬ\nПрисев, стреляете более точно."
"TUT_TITLE_ESCORT_MINIGAME": "ЭСКОРТ"
"ACHIEVE_SR3_DOUBLE_DOSE_OF_PIMPING": "ДВОЙНОЕ СУТЕНЕРСТВО"
"WPN_CYBERCANNON_DESCRIPT": "Рабочая модель ручной пушки Кинзи из сети Декеров. И откуда у нее столько времени?"
"FLASHPOINT_DISCOVERED": "ОТКРЫТА ОПЕРАЦИЯ БАНДЫ"
"PC_ACT_ESCORT_TOUCH_MINIGAME_MSG": "Найдите особую точку. Потом ударьте по ней."
"UNL_DESC_GIANT_BALL_HOMIE": "ГИГАНТСКИЙ ШАР можно найти в меню \"ТЕЛЕФОН\" вашего мобильника. Сокрушите все!"
"TUT_TITLE_CROUCH": "ПРИСЕСТЬ"
"HUD_PRESS_BACK_CANCEL_MISSION": "УДЕРЖИВАЙТЕ %ls - ПОКИНУТЬ МИССИЮ"
"UNL_UPGRADE_AMMO_SMG_2": "ПАТРОНЫ - АВТОМАТ 2"
"UNL_DESC_DAMAGE_BULLET_1": "Урон от пуль снижается на 5%%."
"PAUSE_ACT_CHOP_ADD_HUD": "ДОБАВИТЬ НА ЭКРАН"
"MISSION_CANCEL_TITLE": "ПРЕРВАТЬ/НАЧАТЬ ЗАНОВО"
"ENTER_TAXI_MESSAGE": "НАЖМИТЕ %ls, ЧТОБЫ СЕСТЬ В ТАКСИ."
"CUTSCENE_LOCAL_SKIPPING": "Ожидаем, пока все игроки пропустят ролик."
"ACHIEVE_SR3_HAVE_A_REALITY_CLIMAX": "КУЛЬМИНАЦИЯ РЕАЛЬНОСТИ"
"STRONGHOLD_ICASE": "КРЕПОСТЬ"
"HUD_USE_RIGHT_STICK_MESSAGE": "ИСПОЛЬЗУЙТЕ {ANALOG_RS_IMG}, ЧТОБЫ ОСМОТРЕТЬСЯ."
